rank,score,kw_matched,kw_total,name,institution,openalex_url,orcid,homepage_url,h_index,cited_by_count,works_count,top_topics,matched_kws,missed_kws,paper1_title,paper1_year,paper1_journal,paper1_doi,paper1_abstract_snippet,paper2_title,paper2_year,paper2_journal,paper2_doi,paper2_abstract_snippet,paper3_title,paper3_year,paper3_journal,paper3_doi,paper3_abstract_snippet,paper4_title,paper4_year,paper4_journal,paper4_doi,paper4_abstract_snippet,paper5_title,paper5_year,paper5_journal,paper5_doi,paper5_abstract_snippet,paper6_title,paper6_year,paper6_journal,paper6_doi,paper6_abstract_snippet,paper7_title,paper7_year,paper7_journal,paper7_doi,paper7_abstract_snippet,paper8_title,paper8_year,paper8_journal,paper8_doi,paper8_abstract_snippet,paper9_title,paper9_year,paper9_journal,paper9_doi,paper9_abstract_snippet,paper10_title,paper10_year,paper10_journal,paper10_doi,paper10_abstract_snippet
1,39.5,2,21,George Em Karniadakis,John Brown University,https://openalex.org/A5009658255,https://orcid.org/0000-0002-9713-7120,,131,99740,1241,Model Reduction and Neural Networks; Fluid Dynamics and Turbulent Flows; Probabilistic and Robust Engineering Design,physics-informed; machine learning,heat transfer; computational fluid dynamics; sustainability; predictive maintenance; robotics; thermal management; HVAC; RSM; alternative fuels; biofuels; spark ignition engine; engine emissions; surrogate model; multi-objective optimization; machine learning combustion; response surface methodology; data-driven optimization; digital twin; renewable energy systems,Patient-specific deep offline artificial pancreas for blood glucose regulation in type 1 diabetes,2026,Smart Health,https://doi.org/10.1016/j.smhl.2026.100633,"Due to insufficient insulin secretion, patients with type 1 diabetes mellitus (T1DM) are prone to blood glucose fluctuations ranging from hypoglycemia to hyperglycemia. While dangerous hypoglycemia may lead to coma immediately, chronic hyperglycemia increases patients' risks for cardiorenal and vasc",Leveraging Kolmogorov–Arnold Networks to Discover Time-Dependent Drug Efficacy Function,2026,,https://doi.org/10.70534/wifa4040,"<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" dir=""auto"" id=""d627476e62""> <b>Background</b>: Recent advances in physics-informed modeling have enabled the integration of mechanistic and data-driven approaches for system identification in pharmacometrics. Pioneering methods such as Compart",Representation meets optimization: Training PINNs and PIKANs for gray-box discovery in systems pharmacology,2025,Computers in Biology and Medicine,https://doi.org/10.1016/j.compbiomed.2025.111393,Physics-Informed Kolmogorov-Arnold Networks (PIKANs) have been gaining attention as an effective counterpart to the original multilayer perceptron-based Physics-Informed Neural Networks (PINNs). Both representation models can address inverse problems and facilitate gray-box system identification. Ho,Artificial intelligence-assisted multiscale lung modeling to predict alveolar septal wall stress,2025,Acta Biomaterialia,https://doi.org/10.1016/j.actbio.2025.11.030,"Injuries to the lung parenchyma, such as radiation-induced lung injury (RILI), can lead to heterogeneous ventilation and reduced lung function. The biomechanical drivers behind the onset and progression of such lung injuries are poorly understood. In this study, we developed a method based on tissue",Leveraging operator learning to accelerate convergence of the preconditioned conjugate gradient method,2025,Machine learning for computational science and engineering,https://doi.org/10.1007/s44379-025-00039-7,,Learning and discovering multiple solutions using physics-informed neural networks with random initialization and deep ensemble,2025,Proceedings of the Royal Society A Mathematical Physical and Engineering Sciences,https://doi.org/10.1098/rspa.2025.0205,"We explore the capability of physics-informed neural networks (PINNs) to discover multiple solutions. Many real-world phenomena governed by nonlinear differential equations (DEs), such as fluid flow, exhibit multiple solutions under the same conditions, yet capturing this solution multiplicity remai",Importance of localized dilatation and distensibility in identifying determinants of thoracic aortic aneurysm with neural operators,2025,PLoS Computational Biology,https://doi.org/10.1371/journal.pcbi.1013550,"Thoracic aortic aneurysms (TAAs) stem from diverse mechanical and mechanobiological disruptions to the aortic wall that can also increase the risk of dissection or rupture. There is increasing evidence that dysfunctions along the aortic mechanotransduction axis, including reduced integrity of elasti",Scalable Bayesian Physics-Informed Kolmogorov-Arnold Networks,2025,SIAM/ASA Journal on Uncertainty Quantification,https://doi.org/10.1137/25m1729253,,In silico biophysics and rheology of blood and red blood cells in Gaucher Disease,2025,PLoS Computational Biology,https://doi.org/10.1371/journal.pcbi.1012705,"Gaucher Disease (GD) is a rare genetic disorder characterized by a deficiency in the enzyme glucocerebrosidase, leading to the accumulation of glucosylceramide in various cells, including red blood cells (RBCs). This accumulation results in altered biomechanical properties and rheological behavior o",Mitigating spectral bias in neural operators via high-frequency scaling for physical systems,2025,Neural Networks,https://doi.org/10.1016/j.neunet.2025.108027,"Neural operators have emerged as powerful surrogates for modeling complex physical problems. However, they suffer from spectral bias making them oblivious to high-frequency modes, which are present in multiscale physical systems. Therefore, they tend to produce over-smoothed solutions, which is part"
2,39.5,2,21,Daniel M. Kammen,"University of California, Berkeley",https://openalex.org/A5061940420,https://orcid.org/0000-0003-2984-7777,,79,28978,547,"Energy and Environment Impacts; Energy, Environment, and Transportation Policies; Global Energy and Sustainability Research",machine learning; sustainability,physics-informed; heat transfer; computational fluid dynamics; predictive maintenance; robotics; thermal management; HVAC; RSM; alternative fuels; biofuels; spark ignition engine; engine emissions; surrogate model; multi-objective optimization; machine learning combustion; response surface methodology; data-driven optimization; digital twin; renewable energy systems,Life cycle assessment of bamboo residue management pathways: Biochar and alternatives for carbon sequestration and circular economy,2026,Sustainable Production and Consumption,https://doi.org/10.1016/j.spc.2026.01.004,,Coordinated Planning Strategy for Airborne Wind Energy in Ground-Based Power Grids,2026,IEEE Transactions on Sustainable Energy,https://doi.org/10.1109/tste.2026.3674581,"High-altitude wind energy offers a promising renewable resource, particularly for inland regions with limited surface wind. Airborne Wind Energy Systems (AWESs) capture and convert high-altitude wind into electricity, offering a novel approach to diversify and decarbonize the energy supply. Unlike c",Renewable energy employment and progress toward a just transition in the US and EU,2025,Society Register,https://doi.org/10.14746/sr.2025.9.4.01,"The rapid growth of renewable energy, driven by technological innovation and energy security concerns, is reshaping global electricity generation. This supports climate change mitigation and has significant implications for employment in the power sector. This study examines employment impacts of re",Sustainability and contribution of household biogas plants to energy transition in Nepal,2025,Scientific Reports,https://doi.org/10.1038/s41598-025-24615-2,"Household biogas can significantly contribute to sustainable energy transition by supporting the decarbonisation and modernization of the cooking energy sector. Nearly 450,000 household biogas plants were reported to have been installed in Nepal as of 2023. This study assesses their sustainability u",Publisher Correction: Realistic roles for hydrogen in the future energy transition,2025,Nature Reviews Clean Technology,https://doi.org/10.1038/s44359-025-00121-6,,Digital Monitoring for Health Facility Emission Prediction and Climate Finance: a Case Study From the Democratic Republic of the Congo,2025,,https://doi.org/10.1109/ghtc66843.2025.11265999,"Reliable electricity access remains a fundamental challenge for health facilities in the Democratic Republic of the Congo (DRC), where many depend on diesel generators to sustain clinical operations. These generators emit substantial quantities of carbon dioxide (<tex xmlns:mml=""http://www.w3.org/19",The power of health in the Democratic Republic of the Congo: Electricity quality and reliability in medical facilities of North Kivu Province,2025,Applied Energy,https://doi.org/10.1016/j.apenergy.2025.126830,"High-quality reliable electricity is essential for health service delivery, yet current World Health Organization (WHO) and World Bank Multi-Tier Framework (MTF) indicators rely on binary, recall-based survey metrics that fail to capture the incidence, duration, voltage or frequency of electricity i",A semi-uniform pricing method for VPPs in electricity markets based on power-reserve flexibility regions,2025,Applied Energy,https://doi.org/10.1016/j.apenergy.2025.126653,,A provincial cost analysis of electric vehicle operation in China,2025,iScience,https://doi.org/10.1016/j.isci.2025.113504,"The transition to all-electric driving is essential for achieving carbon reduction goals in China's transportation sector, which is significantly influenced by economic costs and emission reduction benefits. In this study, a comprehensive provincial assessment method is developed to quantify the lev",Experimental and ethnographic evidence on household-based lockboxes and savings nudges from rural Tanzania,2025,World Development Perspectives,https://doi.org/10.1016/j.wdp.2025.100713,
3,39.5,2,21,Andrew M. Minor,University of California System,https://openalex.org/A5030941925,https://orcid.org/0000-0003-3606-8309,,81,20914,551,Electron and X-Ray Spectroscopy Techniques; Microstructure and mechanical properties; Advanced Electron Microscopy Techniques and Applications,machine learning; sustainability,physics-informed; heat transfer; computational fluid dynamics; predictive maintenance; robotics; thermal management; HVAC; RSM; alternative fuels; biofuels; spark ignition engine; engine emissions; surrogate model; multi-objective optimization; machine learning combustion; response surface methodology; data-driven optimization; digital twin; renewable energy systems,Structural and Mechanical Analysis of Individual Mineralized Collagen Fibrils Using In Situ Transmission Electron Microscopy,2026,ACS Nano,https://doi.org/10.1021/acsnano.6c00964,"Bone serves as an example of nature's architectured material with its characteristic blend of strength and toughness, all at a lightweight design. Given the hierarchical nature of these materials, it is essential to understand the governing mechanisms and organization of their constituents across le",Multimodal Nanoscale Mapping of Local Structure and CO <sub>2</sub> Adsorption in Metal–Organic Frameworks,2026,Journal of the American Chemical Society,https://doi.org/10.1021/jacs.5c19737,"Diamine functionalization of the metal-organic framework Mg<sub>2</sub>(dobpdc) (dobpdc<sup>4-</sup> = 4,4'-dioxidobiphenyl-3,3'-dicarboxylate) significantly enhances its selectivity for CO<sub>2</sub> capture from flue gases and air. The structure and CO<sub>2</sub> capacity of such materials are t",Radiation-induced vacancy injection in heterogeneous multiphase materials,2025,Cell Reports Physical Science,https://doi.org/10.1016/j.xcrp.2025.102989,corrosion and radiation affects corrosion rate and defect kinetics,Evaluating Cold-Rolling and Irradiation Effects on Corrosion Resistance of Ni-Cr Alloys in Molten Flinak Salt,2025,ECS Meeting Abstracts,https://doi.org/10.1149/ma2025-02141145mtgabs,"The selection of alloys for Gen IV molten salt nuclear reactors (MSR) involves several considerations, including corrosion resistance. Gen IV reactors aim to improve safety, sustainability, and efficiency compared to previous generations. In addition to selecting corrosion-resistant materials, there",Multigas adsorption with single-site cooperativity in a metal–organic framework,2025,Science,https://doi.org/10.1126/science.ady2607,Cooperative gas adsorption in metal-organic frameworks (MOFs) is a rare phenomenon that generally involves long-range communication between multiple binding sites. We demonstrate a MOF containing cobalt(II)-methyl sites that selectively and reversibly capture two carbon monoxide (CO) molecules per s,Modification of Ni-20Cr corrosion dealloying behavior in molten fluorides via cold work induced plastic deformation,2025,npj Materials Degradation,https://doi.org/10.1038/s41529-025-00678-4,"The corrosion dealloying behavior of cold-worked (CW) Ni20Cr alloy (wt%) was studied in molten LiF-NaF-KF (or FLiNaK) salts at 600 °C, equal to a homologous temperature (TH) of 0.52. Alloys were cold-rolled to achieve reductions of thickness of 10%, 30%, and 50% introducing plastic deformation and a",In Situ 4D‐STEM Imaging of the Orientation of Lamellar Clusters in Polymer Crystallization,2025,Macromolecular Rapid Communications,https://doi.org/10.1002/marc.70112,,Identification of short-range ordering motifs in semiconductors,2025,Science,https://doi.org/10.1126/science.adu0719,"Chemical short-range ordering is expected to be a key factor for tuning the electronic structure of semiconductors. However, experimental evidence of short-range ordering is still lacking due to the challenge of characterizing atomic-scale ordering motifs. Here, we determined the presence of short-r",Mechanistic origin of oxygen-induced twin suppression in titanium,2025,Acta Materialia,https://doi.org/10.1016/j.actamat.2025.121523,,Three-Dimensional Crystals Assembled by Linear Oligopeptoids,2025,Nano Letters,https://doi.org/10.1021/acs.nanolett.5c02506,"The rational construction of three-dimensional (3D) crystalline lattices from synthetic short-chain polymers remains a significant challenge due to the lack of inherent driving forces to enable crystal growth in all three dimensions. Here, we report the design of 3D peptoid crystals from linear pept"
4,34.8,1,21,Philip S. Yu,University of Illinois Urbana-Champaign,https://openalex.org/A5036357902,https://orcid.org/0000-0002-3491-5968,,167,135826,2662,Advanced Graph Neural Networks; Complex Network Analysis Techniques; Topic Modeling,physics-informed,heat transfer; computational fluid dynamics; machine learning; sustainability; predictive maintenance; robotics; thermal management; HVAC; RSM; alternative fuels; biofuels; spark ignition engine; engine emissions; surrogate model; multi-objective optimization; machine learning combustion; response surface methodology; data-driven optimization; digital twin; renewable energy systems,Can Multimodal LLMs Perform Time Series Anomaly Detection?,2026,,https://doi.org/10.1145/3774904.3792376,"Time series anomaly detection (TSAD) has been a long-standing pillar problem in Web-scale systems and online infrastructures, such as service reliability monitoring, system fault diagnosis, and performance optimization. Large language models (LLMs) have demonstrated unprecedented capabilities in tim",AgentDR: Dynamic Recommendation with Implicit Item-Item Relations via LLM-based Agents,2026,,https://doi.org/10.1145/3774904.3792304,"Recent agent-based recommendation frameworks aim to simulate user behaviors by incorporating memory mechanisms and prompting strategies, but they struggle with hallucinating non-existent items and full-catalog ranking. Besides, a largely underexplored opportunity lies in leveraging LLMs' commonsense",EpochX: Building the Infrastructure for an Emergent Agent Civilization,2026,arXiv (Cornell University),,"General-purpose technologies reshape economies less by improving individual tools than by enabling new ways to organize production and coordination. We believe AI agents are approaching a similar inflection point: as foundation models make broad task execution and tool use increasingly accessible, t",OKG-LLM: Aligning Ocean Knowledge Graph With Observation Data via LLMs for Global Sea Surface Temperature Prediction,2026,IEEE Transactions on Knowledge and Data Engineering,https://doi.org/10.1109/tkde.2026.3674110,"Sea surface temperature (SST) prediction is a critical task in ocean science, supporting various applications, such as weather forecasting, fisheries management, and storm tracking. While existing data-driven methods have demonstrated significant success, they often neglect to leverage the rich doma",S²Drug: Bridging Protein Sequence and 3D Structure in Contrastive Representation Learning for Virtual Screening,2026,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v40i1.36997,"Virtual screening (VS) is an essential task in drug discovery, focusing on the identification of small-molecule ligands that bind to specific protein pockets. Existing deep learning methods, from early regression models to recent contrastive learning approaches, primarily rely on structural data whi",A Gravity-Informed Spatiotemporal Transformer for Human Activity Intensity Prediction.,2026,PubMed,https://doi.org/10.1109/tpami.2025.3625859,"Human activity intensity prediction is crucial to many location-based services. Despite tremendous progress in modeling dynamics of human activity, most existing methods overlook physical constraints of spatial interaction, leading to uninterpretable spatial correlations and over-smoothing phenomeno",Knowledge-Aware Clustering,2026,IEEE Transactions on Systems Man and Cybernetics Systems,https://doi.org/10.1109/tsmc.2025.3647548,"Data clustering aims to partition the input data entities into several disjoint categories, where similar entities are grouped together while dissimilar ones are pulled apart. In general, the existing data clustering methods merely depend on the attribute information or constructed similarity graph ",Watermarking techniques for large language models: a survey,2026,Artificial Intelligence Review,https://doi.org/10.1007/s10462-025-11474-6,"Abstract With the rapid advancement and extensive application of artificial intelligence technology, large language models (LLMs) are extensively used to enhance production, creativity, learning, and work efficiency across various domains. However, the abuse of LLMs also poses potential harm to huma",Understanding Interactive Stock Dynamics via Sensitivity-aware Dependency Learning,2026,IEEE Transactions on Knowledge and Data Engineering,https://doi.org/10.1109/tkde.2026.3675433,"The inherent fluctuations in the stock market present significant challenges in understanding stock dynamics, especially for investment decisions based on stock ranking. Recent advancements in learning-based methods have led to promising results in exploring temporal dependencies to understand stock",Overcoming Pitfalls in Graph Contrastive Learning Evaluation: Toward Comprehensive Benchmarks,2025,ACM SIGKDD Explorations Newsletter,https://doi.org/10.1145/3787470.3787479,"The rise of self-supervised learning(SSL), which operates without the need for labeled data, has garnered significant interest within the graph learning community. This enthusiasm has led to the development of numerous self-supervised learning methods, such as Graph Contrastive Learning (GCL) techni"
5,34.8,1,21,Xiangfeng Duan,"University of California, Los Angeles",https://openalex.org/A5019924793,https://orcid.org/0000-0002-4321-6288,,157,108002,590,2D Materials and Applications; Graphene research and applications; Electrocatalysts for Energy Conversion,machine learning,physics-informed; heat transfer; computational fluid dynamics; sustainability; predictive maintenance; robotics; thermal management; HVAC; RSM; alternative fuels; biofuels; spark ignition engine; engine emissions; surrogate model; multi-objective optimization; machine learning combustion; response surface methodology; data-driven optimization; digital twin; renewable energy systems,In Situ Formed Pt–Ga Hetero Duo-Atomic Catalyst for Efficient Hydrogen Storage in N-Heterocycles,2026,Journal of the American Chemical Society,https://doi.org/10.1021/jacs.5c18832,"Efficient catalysts for the dehydrogenation and hydrogenation of liquid organic hydrogen carriers (LOHCs) are essential for advancing hydrogen storage and transportation. Conventional nanoparticle catalysts suffer from low metal utilization, while single-atom catalysts (SAC) are limited by isolated ",Sparsely Dispersed CeO <sub> <i>x</i> </sub> -Stabilized Pt Nanoparticles Overcome Pt Loading–Durability Trade-Off for Highly Durable Heavy-Duty Fuel Cells,2026,Journal of the American Chemical Society,https://doi.org/10.1021/jacs.5c21294,"Proton-exchange-membrane fuel cells (PEMFCs) are clean and sustainable mobile power sources for transportation. Recently, their deployment in heavy-duty vehicles (HDVs) has attracted growing interest owing to their high energy scalability and lower infrastructure requirements. However, to meet the s",Inhaled biomimetic nanoparticles enhance pulmonary delivery of tetrandrine and pirfenidone for the treatment of idiopathic pulmonary fibrosis,2025,Acta Biomaterialia,https://doi.org/10.1016/j.actbio.2025.12.038,,Experimental and theoretical investigation of TR characteristic gases detection of ESLIB based on MoS2 doped with platinum at different proportions,2025,Journal of environmental chemical engineering,https://doi.org/10.1016/j.jece.2025.120769,,Embedded Oxide Clusters Stabilize Sub-2 Nm Pt Nanoparticles for Durable High-Performance Fuel Cells,2025,ECS Meeting Abstracts,https://doi.org/10.1149/ma2025-02381777mtgabs,Platinum (Pt) nanocatalysts are essential for facilitating the cathodic oxygen reduction reaction in proton exchange membrane fuel cells but suffer from a trade-off between activity and durability. Here we present the design of an ultrafine nanocatalyst comprising Pt nanoparticles with sparsely embe,Room-temperature solution processing of high-mobility MoS2 thin films,2025,Nature Communications,https://doi.org/10.1038/s41467-025-66523-z,"Chemical vapor deposition (CVD) has been the prevailing approach to synthesize high-quality 2D molybdenum disulfide (MoS<sub>2</sub>) for electronic devices. However, it typically requires a high synthetic temperature (e.g., 400-900 ˚C) and is thus costly and incompatible with flexible plastic subst",Atomic Stencils on Nanoparticles,2025,Precision Chemistry,https://doi.org/10.1021/prechem.5c00235,,Operando Electrical Transport Spectroscopy Determination of Hydration Phase Diagrams of Alkali Metal Cations in Nanoconfined Spaces,2025,Journal of the American Chemical Society,https://doi.org/10.1021/jacs.5c10627,"The solvation of alkali metal cations (AM<sup>+</sup>) in nanoconfined spaces plays a crucial role across a wide range of fields, including biological systems, ion sieving, desalination, and electrochemical energy storage. Achieving a comprehensive understanding of AM<sup>+</sup> solvation behavior ",Synthesis of PtCo nanotwinned catalysts via laser ablation,2025,Nano Research,https://doi.org/10.26599/nr.2025.94908136,"Nanotwinned materials possess exceptional properties and represent a promising class of metastable materials. However, their controlled synthesis remains challenging. Here, we report the synthesis of twinned PtCo nanoparticles via a laser ablation approach, which promotes the formation of unique nan","Bathymetric Inversion of the Laguo Co Salt Lake, Xizang, Based on Multispectral Images and Machine Learning",2025,Journal of Salt Lake Research,https://doi.org/10.3724/j.yhyj.2024136,高分辨率且高效的水深反演对盐湖矿产元素资源量的估算至关重要。传统人工测深的方法耗时长、成本高、空间连续性差，难以获取全湖水深变化信息。近年来，多光谱被动光学遥感技术广泛应用于湖泊及浅海高分辨率水深探测，但针对盐湖水深反演的研究较少。同时，受盐湖高盐度的影响，水深反演中的理论解析模型难以适用。该研究以中国西藏拉果错盐湖为研究对象，利用随机森林（RF，Random Forest）和支持向量机（SVM，Support Vector Machine）两种机器学习模型开展基于多光谱影像的盐湖水深反演研究。模型评价结果显示，使用七个波段组合构建的随机森林和支持向量机模型能有效反演湖泊水深，且反演精度较高，
6,34.8,1,21,Zhu Han,University of Houston,https://openalex.org/A5063667378,https://orcid.org/0000-0002-6606-5822,,136,90545,2880,Advanced MIMO Systems Optimization; Cooperative Communication and Network Coding; Advanced Wireless Communication Technologies,sustainability,physics-informed; heat transfer; computational fluid dynamics; machine learning; predictive maintenance; robotics; thermal management; HVAC; RSM; alternative fuels; biofuels; spark ignition engine; engine emissions; surrogate model; multi-objective optimization; machine learning combustion; response surface methodology; data-driven optimization; digital twin; renewable energy systems,The Role of ISAC in 6G Networks: Enabling Next-Generation Wireless Systems,2026,IEEE Transactions on Network Science and Engineering,https://doi.org/10.1109/tnse.2026.3666665,"The commencement of the sixth-generation (6G) wireless networks represents a fundamental shift in the integration of communication and sensing technologies to support next-generation applications. Integrated sensing and communication (ISAC) is a key concept in this evolution, enabling end-to-end sup",Distributionally Robust Wireless Semantic Communication With Large AI Models,2026,IEEE Journal on Selected Areas in Communications,https://doi.org/10.1109/jsac.2026.3656885,"Semantic communication (SemCom) has emerged as a promising paradigm for 6G wireless systems by transmitting task-relevant information rather than raw bits, yet existing approaches remain vulnerable to dual sources of uncertainty: semantic misinterpretation arising from imperfect feature extraction a",SemSpaceFL:A Collaborative Hierarchical Federated Learning Framework for Semantic Communication in 6G LEO Satellites,2026,VBN Forskningsportal (Aalborg Universitet),https://doi.org/10.1109/tcomm.2025.3635771,"The advent of the sixth-generation (6G) wireless networks, enhanced by artificial intelligence, promises ubiquitous connectivity through Low Earth Orbit (LEO) satellites. These satellites are capable of collecting vast amounts of geographically diverse and real-time data, which can be immensely valu",Network Slicing for Time-Varying Software Defined Integrated Space-Terrestrial Networks,2025,IEEE Communications Magazine,https://doi.org/10.1109/mcom.001.2500044,"Software-Defined Integrated Space-Terrestrial Networks (SD-ISTNs) offer a flexible and scalable architecture for 6G, enabling seamless global connectivity and support for diverse services. Network slicing is a critical technology in SD-ISTNs, enabling the creation of customized network slices on sha",Leveraging the Power of Ensemble Learning for Secure Low Altitude Economics,2025,IEEE Communications Magazine,https://doi.org/10.1109/mcom.001.2500216,"Low Altitude Economy (LAE) holds immense promise for enhancing societal well-being and driving economic growth. However, this burgeoning field is vulnerable to security threats, particularly malicious aircraft intrusion attacks. Due to the heterogeneous data, dynamic environment, and resource-constr",Toward Agentic AI: Generative Information Retrieval Inspired Intelligent Communications and Networking,2025,IEEE Communications Magazine,https://doi.org/10.1109/mcom.001.2500073,"The increasing complexity and scale of modern telecommunications networks demand intelligent automation to enhance efficiency, adaptability, and resilience. Agentic AI has emerged as a pivotal paradigm for intelligent networking, enabling AI-driven agents to perceive, reason, and act within dynamic ",Joint Online Optimization of Power Allocation and Task Scheduling for Data Offloading in LEO Satellite Networks,2025,IEEE Transactions on Network Science and Engineering,https://doi.org/10.1109/tnse.2025.3645282,The rapid expansion of Low Earth Orbit (LEO) satellites inescapably leads to the explosive growth of space data in LEO Satellite Networks (LSNs). The stochastic nature of space data arrivals and the intrinsically time-varying satellite-ground links in LSNs pose significant challenges for offloading ,Robustness-Enhanced Narrowband Interference Detection by Utilizing Unlabeled Data,2025,IEEE Transactions on Wireless Communications,https://doi.org/10.1109/twc.2025.3640829,"The widespread adoption of wireless communication systems in both military and civilian applications has significantly advanced technological progress and social development across various industries. However, narrowband interference signals pose a significant challenge, severely disrupting the norm",Optimal Transport Framework for ISAC in Low-Altitude Networks: Joint Resource Allocation for Cooperative Communication and Non-Cooperative Localization,2025,IEEE Transactions on Communications,https://doi.org/10.1109/tcomm.2025.3642742,The proliferation of unmanned aerial vehicles (UAVs) in low-altitude airspace necessitates sophisticated resource management supporting both cooperative communications and unauthorized intrusion detection. This paper investigates joint optimization of cell association and power allocation in integra,Effectiveness of Social Problem-Solving Interventions for Children with Autism Spectrum Disorder: A Systematic Review and Meta-Analysis,2025,Behavioral Sciences,https://doi.org/10.3390/bs15121708,"Social problem-solving (SPS) is a core component of social-emotional learning (SEL) that integrates cognitive, emotional, and behavioral processes essential for adaptive social functioning. Children with autism spectrum disorder (ASD) often experience persistent difficulties in these domains, highli"
7,34.8,1,21,Chongmin Wang,Jacksonville State University,https://openalex.org/A5100622274,https://orcid.org/0000-0003-3327-0958,,129,66328,747,Advancements in Battery Materials; Advanced Battery Materials and Technologies; Advanced Battery Technologies Research,machine learning,physics-informed; heat transfer; computational fluid dynamics; sustainability; predictive maintenance; robotics; thermal management; HVAC; RSM; alternative fuels; biofuels; spark ignition engine; engine emissions; surrogate model; multi-objective optimization; machine learning combustion; response surface methodology; data-driven optimization; digital twin; renewable energy systems,Advanced LiTFSI-LiPF <sub>6</sub> Dual-Salt Electrolyte for High-Power and Wide-Temperature Operation of Lithium-Ion Batteries,2025,Journal of The Electrochemical Society,https://doi.org/10.1149/1945-7111/ae2fa0,"The development of advanced electrolytes is critical to enabling lithium (Li)-ion batteries (LIBs) with high energy density, power capability, and operational stability under extreme conditions. Here, we introduce a dual-salt controlled-solvation electrolyte designed for LIBs with LiNi 0.8 Mn 0.1 Co",Direct and in situ examination of Li <sup>+</sup> transport kinetics in an isotope-labeled solid–electrolyte interphase,2025,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.2514652122,"Solid-electrolyte interphase (SEI) is the critical component in all advanced battery chemistries, whose ionic transport and electron leakage behaviors remain least understood among all battery components. Here, using unique in situ liquid secondary ion mass spectroscopy on isotope-labeled SEI, assis",Weakly Solvating Electrolyte to Enable Lithium- and Manganese-Rich Cathode-Based Li-Ion Batteries,2025,ACS Energy Letters,https://doi.org/10.1021/acsenergylett.5c02764,"Traditional ethylene carbonate (EC)-based electrolytes exhibit strong solvation power at the surface of the layered transition metal oxide cathodes, which accelerates transition metal dissolution. The subsequent migration and deposition of dissolved transition metal species on the anode surface lead",Selective Oxidation and Cr Segregation in High-Entropy Oxide Thin Films,2025,Nano Letters,https://doi.org/10.1021/acs.nanolett.5c03196,"High-entropy oxides (HEOs) offer exceptional compositional flexibility and structural stability, making them promising materials for energy and catalytic applications. Here, we investigate Sr doping effects on B-site cation oxidation states, local composition, and structure in epitaxial La<sub>1-<i>",Utilizing 4D-STEM to Elucidate the Impact of DIGM Zones on Corrosion Resistance in Ni-Cr Alloys Exposed to Extreme Environments,2025,Microscopy and Microanalysis,https://doi.org/10.1093/mam/ozaf048.757,,STEM-iDPC Imaging for Resolving Atomic Structural Features of Stacking Faults and Domain Connections in the Li- and Mn-rich Cathode,2025,Microscopy and Microanalysis,https://doi.org/10.1093/mam/ozaf048.1119,,Machine Learning Approaches for Planning of Robot Manipulation: A Review,2025,,https://doi.org/10.1109/mrai65197.2025.11135616,"The current research offers an in - depth analysis of the advancements in machine - learning approaches used in robotic manipulation. We embark upon outlining the basic concepts and indispensable parts of machine learning (ML). The study looks into different machine - learning techniques, namely sup",Investigating the impact of preparation routes on the properties of copper-decorated silicon particles as anode materials for lithium-ion batteries,2025,Next Energy,https://doi.org/10.1016/j.nxener.2025.100335,"In recent years, the calendar life of Si has been recognized as a significant issue that must be addressed prior to technology deployment: The carbon conductive additive is a potential source of parasitic side reactions. However, carbon remains essential due to the low electronic conductivity of Si.",The Origin of Improved Performance in Boron‐Alloyed Silicon Nanoparticle‐Based Anodes for Lithium‐Ion Batteries,2025,Advanced Energy Materials,https://doi.org/10.1002/aenm.202501074,"Abstract Stabilizing the solid electrolyte interphase (SEI) remains a key challenge for silicon‐based lithium‐ion battery anodes. Alloying silicon with secondary elements like boron has emerged as a promising strategy to improve the cycle life of silicon anodes, yet the underlying mechanism remains ",Designing Moderately‐Solvating Electrolytes for High‐Performance Lithium–Sulfur Batteries,2025,Advanced Materials,https://doi.org/10.1002/adma.202503365,"New electrolytes are critical for high-energy lithium (Li)-sulfur (S) batteries (LSBs) to ensure their stability against Li metal anode and polysulfides (PSs) shuttling which hinder the large-scale application of LSBs. In this study, the design principle of moderately solvating electrolytes (MSEs) f"
