rank,score,kw_matched,kw_total,name,institution,department,openalex_url,orcid,homepage_url,h_index,cited_by_count,works_count,top_topics,matched_kws,missed_kws,paper1_title,paper1_year,paper1_journal,paper1_doi,paper1_abstract_snippet,paper2_title,paper2_year,paper2_journal,paper2_doi,paper2_abstract_snippet,paper3_title,paper3_year,paper3_journal,paper3_doi,paper3_abstract_snippet,paper4_title,paper4_year,paper4_journal,paper4_doi,paper4_abstract_snippet,paper5_title,paper5_year,paper5_journal,paper5_doi,paper5_abstract_snippet,paper6_title,paper6_year,paper6_journal,paper6_doi,paper6_abstract_snippet,paper7_title,paper7_year,paper7_journal,paper7_doi,paper7_abstract_snippet,paper8_title,paper8_year,paper8_journal,paper8_doi,paper8_abstract_snippet,paper9_title,paper9_year,paper9_journal,paper9_doi,paper9_abstract_snippet,paper10_title,paper10_year,paper10_journal,paper10_doi,paper10_abstract_snippet
1,41.3,6,53,Zhong Lin Wang,Georgia Institute of Technology,College of Information Science and Technology,https://openalex.org/A5100376569,https://orcid.org/0000-0002-5530-0380,,320,470137,3896,Advanced Sensor and Energy Harvesting Materials; Conducting polymers and applications; Innovative Energy Harvesting Technologies,knowledge graph; Neo4j; graph neural network; manufacturing; energy harvesting; vibration,machine learning combustion; NSGA-III; surrogate model; spark ignition engine; internal combustion engine; physics-informed; alternative fuels; convex hull; response surface methodology; fuel blend; alcohol gasoline; oxygenated fuel; biofuels; brake thermal efficiency; NOx prediction; emission reduction; emissions optimization; engine emissions; gradient boosting; XGBoost; evolutionary algorithm; Pareto optimization; data-driven optimization; digital twin; scientific machine learning; neural operator; stochastic modeling; Gaussian process; techno-economic analysis; LCA; life cycle assessment; multi-objective optimization; heat transfer; computational fluid dynamics; data driven thermodynamics; thermal management; renewable energy systems; energy optimization; decarbonization; energy transition; robotics; control systems; additive manufacturing; digital shadow; machine learning; artificial intelligence; sustainability,Secure and Private Recommendation based on Federated Graph Neural Network,2025,Neural Processing Letters,https://doi.org/10.1007/s11063-025-11812-3,"Federated social recommender systems based on Graph Neural Network (GNN) enables efficient local training without sharing local private data. However, it has been proved to be vulnerable to security and privacy issues, namely data poisoning attacks and inference attacks. Existing efforts focused on ",Exploring the spatial-temporal evolution and driving mechanism of air pollution and carbon emission synergistic efficiency in Chinese 281 prefecture-level cities,2025,Energy,https://doi.org/10.1016/j.energy.2025.139629,,A generalized approach for enhancing contact-electro-catalysis of oxides in a broad temperature range by fluorination,2025,Nature Communications,https://doi.org/10.1038/s41467-025-66002-5,"Contact-electro-catalysis (CEC) has emerged as a sustainable and effective strategy for promoting chemical reactions. While polymers are the mostly used CEC catalysts, their limited contact-electrification (CE) performance at high temperatures limits the application of CEC in some environment. Here,",Probing electrical double layer via triboelectric charge transfer,2025,Nature Communications,https://doi.org/10.1038/s41467-025-67094-9,"The nanoscale electrical double layer (EDL) governs macroscopic phenomena such as ion adsorption and reaction kinetics, serving as a fundamental determinant in diverse applications ranging from sensing, and catalysis, to energy storage. While classical EDL models primarily describe conductive interf",The universal model for metal–semiconductor tribovoltaic nanogenerators,2025,Applied Physics Reviews,https://doi.org/10.1063/5.0301293,"Metal–semiconductor sliding tribovoltaic nanogenerators (MS-TVNGs) represent a promising energy harvesting technology that converts mechanical energy into direct current through dynamic Schottky junction. Although p–n junction-based TVNGs have been investigated in prior studies, metal–semiconductor ","Low resonance, omnidirectionally stable triboelectric nanogenerator for ocean wave energy harvesting",2025,Chemical Engineering Journal,https://doi.org/10.1016/j.cej.2025.171443,,Exploring transition pathways to net-zero emissions in China's power sector under different policy portfolios,2025,Journal of Cleaner Production,https://doi.org/10.1016/j.jclepro.2025.147105,,Fault Knowledge Graph Construction Method for Hydraulic Turbine Speed Control System Based on BERTWWM-BiLSTM-MHA-CRF Model,2025,Applied Sciences,https://doi.org/10.3390/app152312377,"As a crucial component within the power industry, the hydraulic turbine speed control system significantly plays a vital role in the safe and stable operation of hydropower stations. The intelligent operation and maintenance of this system is a vital means to ensure the safety, stability, and econom",Real-Time SERS Tracking of Single-Protein Orientational Change via Plasmonic Nanopore Confinement,2025,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.5c04818,"The orientational and conformational changes of individual protein molecules are particularly attractive. However, current methodologies struggle to directly observe these transient states of single-molecule (SM) proteins. In this study, we developed a real-time dynamic SM surface-enhanced Raman sca",Triboelectric nanogenerators: from nano energy to extreme manufacturing,2025,International Journal of Extreme Manufacturing,https://doi.org/10.1088/2631-7990/ae1fc1,"Abstract Triboelectric nanogenerators (TENGs), leveraging their capability for ambient energy harvesting and self-powered sensing, have emerged as a revolutionary solution for the Internet of Things (IoTs) and distributed intelligent systems. As human exploration extends into extreme environments su"
2,38.8,2,53,Arumugam Manthiram,The University of Texas at Austin,Department of Mechanical Engineering The University of Texas at Austin  Austin T,https://openalex.org/A5066705036,https://orcid.org/0000-0003-0237-9563,,168,124171,1319,Advancements in Battery Materials; Advanced Battery Materials and Technologies; Advanced Battery Technologies Research,artificial intelligence; sustainability,machine learning combustion; NSGA-III; surrogate model; spark ignition engine; internal combustion engine; physics-informed; alternative fuels; convex hull; response surface methodology; fuel blend; alcohol gasoline; oxygenated fuel; biofuels; brake thermal efficiency; NOx prediction; emission reduction; emissions optimization; engine emissions; gradient boosting; XGBoost; evolutionary algorithm; Pareto optimization; data-driven optimization; digital twin; knowledge graph; scientific machine learning; neural operator; Neo4j; graph neural network; stochastic modeling; Gaussian process; techno-economic analysis; LCA; life cycle assessment; multi-objective optimization; heat transfer; computational fluid dynamics; data driven thermodynamics; thermal management; renewable energy systems; energy optimization; decarbonization; energy transition; manufacturing; robotics; energy harvesting; vibration; control systems; additive manufacturing; digital shadow; machine learning,Modulating Li <sup>+</sup> and Polysulfide Solvation with Low‐Density Moderately Solvating Electrolytes for Lithium–Sulfur Batteries,2026,Angewandte Chemie,https://doi.org/10.1002/ange.202522940,"Abstract Lithium–sulfur (Li–S) batteries show great promise as the next‐generation rechargeable batteries, yet they still suffer from polysulfide shuttling and interphasial instability. Electrolyte, as the medium for ion transport and sulfur conversion, plays a crucial role in overcoming these chall",Modulating Li <sup>+</sup> and Polysulfide Solvation with Low‐Density Moderately Solvating Electrolytes for Lithium–Sulfur Batteries,2026,Angewandte Chemie International Edition,https://doi.org/10.1002/anie.202522940,"Lithium-sulfur (Li-S) batteries show great promise as the next-generation rechargeable batteries, yet they still suffer from polysulfide shuttling and interphasial instability. Electrolyte, as the medium for ion transport and sulfur conversion, plays a crucial role in overcoming these challenges. He",Aluminum chloride-based catholytes for stable high-voltage solid-state sodium batteries,2025,Journal of Materials Chemistry A,https://doi.org/10.1039/d5ta08632a,High-voltage cycling is critical for high cathode-level energy density in sodium solid-state batteries. We present interactions between NaAlCl 4 catholytes and oxide cathodes and investigate fluorination strategies to enhance high-voltage stability.,Differentiating the Synergistic Interactions between Li <sup>+</sup> Salts and Cyclic to Linear Carbonate Ratios to Enable Wide-Temperature Performance of Lithium-Ion Batteries,2025,ECS Meeting Abstracts,https://doi.org/10.1149/ma2025-022177mtgabs,"Lithium-ion batteries operate well between a temperature range of 15 °C to 35 °C. However, sluggish kinetics due to the resistive solid-electrolyte interphase (SEI) layer can impede the charge-transfer process below this range, and above this range, accelerated decomposition of the electrolyte on th",<i>(ECS Olin Palladium Award Address)</i> The Triumph with Oxide Chemistry in Energy Storage,2025,ECS Meeting Abstracts,https://doi.org/10.1149/ma2025-0271024mtgabs,Lithium-ion batteries have aided our modern lifestyle with portable electronic devices and electric vehicles. The success of lithium-ion batteries became possible because of the use of transition-metal oxide cathodes with high operating voltages and energy density. The fundamental solid-state inorga,<i>(Invited)</i> Overcoming the Challenges of Metal-Sulfur Batteries,2025,ECS Meeting Abstracts,https://doi.org/10.1149/ma2025-02141mtgabs,"Energy storage has become an integral part of our daily life with portable electronic devices and electric vehicles. Lithium-ion batteries currently dominate the market due to their high operating voltage and energy density. However, as the battery market is booming, cost, sustainability, and supply",Delineating the Interplay between Kinetic Limitations and Energy Density in LiMn <sub>x</sub> Fe <sub>1-X</sub> PO <sub>4</sub> Cathodes for Lithium-Ion Batteries,2025,ECS Meeting Abstracts,https://doi.org/10.1149/ma2025-02158mtgabs,"LiMn x Fe 1−x PO 4 (LMFP) cathodes can improve the energy density of lithium-ion batteries by up to 15% compared to LiFePO 4 due to the higher operating voltage of the Mn 2+/3+ redox couple (4.0 V vs. Li/Li + ) compared to that of Fe 2+/3+ (3.4 V vs. Li/Li + ). However, the sluggish kinetics of the ",Tailoring the Anion Chemistry of Low-Cost NaAlCl <sub>4</sub> as a Catholyte in Solid-State Sodium-Ion Batteries,2025,ECS Meeting Abstracts,https://doi.org/10.1149/ma2025-025810mtgabs,"Solid-state Na-ion batteries are an attractive format due to their potential lower cost compared to Li-based systems and higher energy density compared to liquid electrolyte Na-ion systems. To achieve these potential benefits, energy-dense layered-oxides are the typical cathode active material of ch",Enhancing the Sulfur Redox Kinetics by Tuning the Cathode Microstructure in Lithium-Sulfur Batteries,2025,ECS Meeting Abstracts,https://doi.org/10.1149/ma2025-02150mtgabs,"The development of next-generation energy storage technologies is crucial as the world shifts to renewable energy sources to address the climate crisis. While Li-ion batteries are mature and commercially successful, their energy density and costs are insufficient for future energy requirements. Lith",Decoding Gas Evolution Pathways and Interfacial Chemistry in Layered Oxide Cathodes for Safer Sodium‐Ion Batteries,2025,Advanced Energy Materials,https://doi.org/10.1002/aenm.202504756,"Abstract Sodium‐ion batteries (SIBs) are attractive for the low cost and abundance of sodium. Yet, gas evolution—a critical challenge in SIBs—remains underexplored. Here, online electrochemical mass spectrometry is used to probe gas evolution in layered oxide cathodes with various compositions, cuto"
3,37.5,4,53,George Em Karniadakis,John Brown University,Division of Applied Mathematics,https://openalex.org/A5009658255,https://orcid.org/0000-0002-9713-7120,,132,100459,1241,Model Reduction and Neural Networks; Fluid Dynamics and Turbulent Flows; Probabilistic and Robust Engineering Design,physics-informed; neural operator; machine learning; artificial intelligence,machine learning combustion; NSGA-III; surrogate model; spark ignition engine; internal combustion engine; alternative fuels; convex hull; response surface methodology; fuel blend; alcohol gasoline; oxygenated fuel; biofuels; brake thermal efficiency; NOx prediction; emission reduction; emissions optimization; engine emissions; gradient boosting; XGBoost; evolutionary algorithm; Pareto optimization; data-driven optimization; digital twin; knowledge graph; scientific machine learning; Neo4j; graph neural network; stochastic modeling; Gaussian process; techno-economic analysis; LCA; life cycle assessment; multi-objective optimization; heat transfer; computational fluid dynamics; data driven thermodynamics; thermal management; renewable energy systems; energy optimization; decarbonization; energy transition; manufacturing; robotics; energy harvesting; vibration; control systems; additive manufacturing; digital shadow; sustainability,In Silico Postscreening of Antisickling Agents to Treat Sickle Cell Disease,2026,Blood Red Cells & Iron,https://doi.org/10.1016/j.brci.2026.100081,,Patient-specific deep offline artificial pancreas for blood glucose regulation in type 1 diabetes,2026,Smart Health,https://doi.org/10.1016/j.smhl.2026.100633,"Due to insufficient insulin secretion, patients with type 1 diabetes mellitus (T1DM) are prone to blood glucose fluctuations ranging from hypoglycemia to hyperglycemia. While dangerous hypoglycemia may lead to coma immediately, chronic hyperglycemia increases patients' risks for cardiorenal and vasc",Leveraging Kolmogorov–Arnold Networks to Discover Time-Dependent Drug Efficacy Function,2026,,https://doi.org/10.70534/wifa4040,"<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" dir=""auto"" id=""d627476e62""> <b>Background</b>: Recent advances in physics-informed modeling have enabled the integration of mechanistic and data-driven approaches for system identification in pharmacometrics. Pioneering methods such as Compart",Representation meets optimization: Training PINNs and PIKANs for gray-box discovery in systems pharmacology,2025,Computers in Biology and Medicine,https://doi.org/10.1016/j.compbiomed.2025.111393,Physics-Informed Kolmogorov-Arnold Networks (PIKANs) have been gaining attention as an effective counterpart to the original multilayer perceptron-based Physics-Informed Neural Networks (PINNs). Both representation models can address inverse problems and facilitate gray-box system identification. Ho,Artificial intelligence-assisted multiscale lung modeling to predict alveolar septal wall stress,2025,Acta Biomaterialia,https://doi.org/10.1016/j.actbio.2025.11.030,"Injuries to the lung parenchyma, such as radiation-induced lung injury (RILI), can lead to heterogeneous ventilation and reduced lung function. The biomechanical drivers behind the onset and progression of such lung injuries are poorly understood. In this study, we developed a method based on tissue",Leveraging operator learning to accelerate convergence of the preconditioned conjugate gradient method,2025,Machine learning for computational science and engineering,https://doi.org/10.1007/s44379-025-00039-7,,Learning and discovering multiple solutions using physics-informed neural networks with random initialization and deep ensemble,2025,Proceedings of the Royal Society A Mathematical Physical and Engineering Sciences,https://doi.org/10.1098/rspa.2025.0205,"We explore the capability of physics-informed neural networks (PINNs) to discover multiple solutions. Many real-world phenomena governed by nonlinear differential equations (DEs), such as fluid flow, exhibit multiple solutions under the same conditions, yet capturing this solution multiplicity remai",Importance of localized dilatation and distensibility in identifying determinants of thoracic aortic aneurysm with neural operators,2025,PLoS Computational Biology,https://doi.org/10.1371/journal.pcbi.1013550,"Thoracic aortic aneurysms (TAAs) stem from diverse mechanical and mechanobiological disruptions to the aortic wall that can also increase the risk of dissection or rupture. There is increasing evidence that dysfunctions along the aortic mechanotransduction axis, including reduced integrity of elasti",Scalable Bayesian Physics-Informed Kolmogorov-Arnold Networks,2025,SIAM/ASA Journal on Uncertainty Quantification,https://doi.org/10.1137/25m1729253,,In silico biophysics and rheology of blood and red blood cells in Gaucher Disease,2025,PLoS Computational Biology,https://doi.org/10.1371/journal.pcbi.1012705,"Gaucher Disease (GD) is a rare genetic disorder characterized by a deficiency in the enzyme glucocerebrosidase, leading to the accumulation of glucosylceramide in various cells, including red blood cells (RBCs). This accumulation results in altered biomechanical properties and rheological behavior o"
4,35.7,3,53,Mercouri G. Kanatzidis,Northwestern University,Department of Chemistry,https://openalex.org/A5035758112,https://orcid.org/0000-0003-2037-4168,,199,189588,2823,Crystal Structures and Properties; Advanced Thermoelectric Materials and Devices; Crystallization and Solubility Studies,manufacturing; vibration; machine learning,machine learning combustion; NSGA-III; surrogate model; spark ignition engine; internal combustion engine; physics-informed; alternative fuels; convex hull; response surface methodology; fuel blend; alcohol gasoline; oxygenated fuel; biofuels; brake thermal efficiency; NOx prediction; emission reduction; emissions optimization; engine emissions; gradient boosting; XGBoost; evolutionary algorithm; Pareto optimization; data-driven optimization; digital twin; knowledge graph; scientific machine learning; neural operator; Neo4j; graph neural network; stochastic modeling; Gaussian process; techno-economic analysis; LCA; life cycle assessment; multi-objective optimization; heat transfer; computational fluid dynamics; data driven thermodynamics; thermal management; renewable energy systems; energy optimization; decarbonization; energy transition; robotics; energy harvesting; control systems; additive manufacturing; digital shadow; artificial intelligence; sustainability,A cation-functionalized layer for ethylene electrosynthesis via CO reduction paired with H2 oxidation in a pure-water-fed solid-state electrolyser,2026,Nature Energy,https://doi.org/10.1038/s41560-026-01990-2,,Complementary Photoresponse in van der Waals Heterostructures for Insect-Inspired Neuromorphic Vision,2025,ACS Nano,https://doi.org/10.1021/acsnano.5c14746,"Complementary responses to identical stimuli, essential to biological sensory processing, are rarely realized in solid-state systems. Here, we report such behavior in the van der Waals (vdW) complex-anion thiophosphate LiInP<sub>2</sub>Se<sub>6</sub>, where two specimens with distinct defect landsca",A stoichiometrically conserved homologous series with infinite structural diversity,2025,Science,https://doi.org/10.1126/science.aea8088,"We describe a compositionally guided structural evolution within a stoichiometrically conserved framework, BaSbQ<sub>3</sub> (Q = Te<sub>1-</sub><i><sub>x</sub></i>S<i><sub>x</sub></i>), where each value of <i>x</i> gives rise to a distinct phase. The fundamental building blocks, <i>A</i><sub>1</sub",Polymorphism and Phase Control in Dion–Jacobson 2D 3-(Aminomethyl)piperidinium-Based Metal Iodide Perovskites,2025,Chemistry of Materials,https://doi.org/10.1021/acs.chemmater.5c02328,"Two-dimensional halide perovskites exhibit rich structural diversity and tunable optoelectronic properties, making them promising materials for energy, sensing, and photonic applications. We report the structural mapping of four distinct polymorphs, γ (P21/c), β (P4/mbm), α (P4/mmm), and δ (Cmcm) in",Crystalline Order Yet Glass-Like Heat Transport Driven by Hidden Local Distortions as the Structural Origin of Ultralow Thermal Conductivity in AgErTe <sub>2</sub>,2025,Journal of the American Chemical Society,https://doi.org/10.1021/jacs.5c16757,"Given their rich chemical diversity and the interplay among the <i>p</i>-, <i>d</i>-, and <i>f</i>-orbitals of chalcogens, transition metals, and lanthanides, respectively, rare-earth transition-metal chalcogenides exhibit a wide variety of structural, magnetic, and transport phenomena. As a result,",Stabilization of high-performance rock-salt LiMnSbTe3 thermoelectrics with embedded van der Waals-like gaps,2025,Nature Communications,https://doi.org/10.1038/s41467-025-66518-w,"Rock-salt-structured compounds like lead chalcogenides are promising thermoelectrics, as their high symmetry, strong anharmonicity, and favorable phase behavior collectively lead to high performance by enabling large power factors and ultralow thermal conductivity. Here, we report LiMnSbTe<sub>3</su",Development of a Full Readout System for a DSSD-LiInP2Se6 Neutron Detector in Single Crystal Diffractometery,2025,,https://doi.org/10.1109/nss/mic/rtsd57106.2025.11287793,"As a lithium-based semiconducting material, Lithium Indium Phosphorus Selenide (LiInP2Se6) shows strong potential for neutron detection applications due to its high neutron sensitivity, fine spatial resolution, and compatibility with strip-based readout architectures. This work reports on the develo",First-Principle Simulations of Bulk Perovskite Detectors,2025,,https://doi.org/10.1109/nss/mic/rtsd57106.2025.11286777,"All-inorganic metal halide perovskites, particularly <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$\text{CsPbBr}_{3}$</tex>, have emerged as promising materials for radiation detection due to their excellent optoelectronic properties-such as high car",Nanotechnology for catalysis and solar energy conversion,2025,UNC Libraries,https://doi.org/10.17615/h23z-8j11,"This roadmap on Nanotechnology for Catalysis and Solar Energy Conversion focuses on the application of nanotechnology in addressing the current challenges of energy conversion: 'high efficiency, stability, safety, and the potential for low-cost/scalable manufacturing' to quote from the contributed a",Tuning optical properties and local lone-pair off-centering in “hollow” FA <sub> 1− <i>x</i> </sub> { <i>en</i> } <sub> <i>x</i> </sub> Pb <sub> <i>η</i> − <i>y</i> </sub> Sn <sub> <i>y</i> </sub> Br <sub>3</sub> perovskites,2025,Chemical Science,https://doi.org/10.1039/d5sc01841b,"Hollow metal halide perovskites, while a relatively recent discovery, have already been shown to push the boundaries of tuneability within an inherently limited compositional space. Here, we further expand our knowledge of these complex materials demonstrating the ability to control optical properti"
5,35.7,3,53,Philip S. Yu,University of Illinois Urbana-Champaign,Department of Computing,https://openalex.org/A5036357902,https://orcid.org/0000-0002-3491-5968,,167,136183,2664,Advanced Graph Neural Networks; Complex Network Analysis Techniques; Topic Modeling,physics-informed; knowledge graph; artificial intelligence,machine learning combustion; NSGA-III; surrogate model; spark ignition engine; internal combustion engine; alternative fuels; convex hull; response surface methodology; fuel blend; alcohol gasoline; oxygenated fuel; biofuels; brake thermal efficiency; NOx prediction; emission reduction; emissions optimization; engine emissions; gradient boosting; XGBoost; evolutionary algorithm; Pareto optimization; data-driven optimization; digital twin; scientific machine learning; neural operator; Neo4j; graph neural network; stochastic modeling; Gaussian process; techno-economic analysis; LCA; life cycle assessment; multi-objective optimization; heat transfer; computational fluid dynamics; data driven thermodynamics; thermal management; renewable energy systems; energy optimization; decarbonization; energy transition; manufacturing; robotics; energy harvesting; vibration; control systems; additive manufacturing; digital shadow; machine learning; sustainability,Can Multimodal LLMs Perform Time Series Anomaly Detection?,2026,,https://doi.org/10.1145/3774904.3792376,"Time series anomaly detection (TSAD) has been a long-standing pillar problem in Web-scale systems and online infrastructures, such as service reliability monitoring, system fault diagnosis, and performance optimization. Large language models (LLMs) have demonstrated unprecedented capabilities in tim",AgentDR: Dynamic Recommendation with Implicit Item-Item Relations via LLM-based Agents,2026,,https://doi.org/10.1145/3774904.3792304,"Recent agent-based recommendation frameworks aim to simulate user behaviors by incorporating memory mechanisms and prompting strategies, but they struggle with hallucinating non-existent items and full-catalog ranking. Besides, a largely underexplored opportunity lies in leveraging LLMs' commonsense",EpochX: Building the Infrastructure for an Emergent Agent Civilization,2026,arXiv (Cornell University),,"General-purpose technologies reshape economies less by improving individual tools than by enabling new ways to organize production and coordination. We believe AI agents are approaching a similar inflection point: as foundation models make broad task execution and tool use increasingly accessible, t",OKG-LLM: Aligning Ocean Knowledge Graph With Observation Data via LLMs for Global Sea Surface Temperature Prediction,2026,IEEE Transactions on Knowledge and Data Engineering,https://doi.org/10.1109/tkde.2026.3674110,"Sea surface temperature (SST) prediction is a critical task in ocean science, supporting various applications, such as weather forecasting, fisheries management, and storm tracking. While existing data-driven methods have demonstrated significant success, they often neglect to leverage the rich doma",S²Drug: Bridging Protein Sequence and 3D Structure in Contrastive Representation Learning for Virtual Screening,2026,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v40i1.36997,"Virtual screening (VS) is an essential task in drug discovery, focusing on the identification of small-molecule ligands that bind to specific protein pockets. Existing deep learning methods, from early regression models to recent contrastive learning approaches, primarily rely on structural data whi",A Gravity-Informed Spatiotemporal Transformer for Human Activity Intensity Prediction.,2026,PubMed,https://doi.org/10.1109/tpami.2025.3625859,"Human activity intensity prediction is crucial to many location-based services. Despite tremendous progress in modeling dynamics of human activity, most existing methods overlook physical constraints of spatial interaction, leading to uninterpretable spatial correlations and over-smoothing phenomeno",Knowledge-Aware Clustering,2026,IEEE Transactions on Systems Man and Cybernetics Systems,https://doi.org/10.1109/tsmc.2025.3647548,"Data clustering aims to partition the input data entities into several disjoint categories, where similar entities are grouped together while dissimilar ones are pulled apart. In general, the existing data clustering methods merely depend on the attribute information or constructed similarity graph ",Watermarking techniques for large language models: a survey,2026,Artificial Intelligence Review,https://doi.org/10.1007/s10462-025-11474-6,"Abstract With the rapid advancement and extensive application of artificial intelligence technology, large language models (LLMs) are extensively used to enhance production, creativity, learning, and work efficiency across various domains. However, the abuse of LLMs also poses potential harm to huma",Understanding Interactive Stock Dynamics via Sensitivity-aware Dependency Learning,2026,IEEE Transactions on Knowledge and Data Engineering,https://doi.org/10.1109/tkde.2026.3675433,"The inherent fluctuations in the stock market present significant challenges in understanding stock dynamics, especially for investment decisions based on stock ranking. Recent advancements in learning-based methods have led to promising results in exploring temporal dependencies to understand stock",Overcoming Pitfalls in Graph Contrastive Learning Evaluation: Toward Comprehensive Benchmarks,2025,ACM SIGKDD Explorations Newsletter,https://doi.org/10.1145/3787470.3787479,"The rise of self-supervised learning(SSL), which operates without the need for labeled data, has garnered significant interest within the graph learning community. This enthusiasm has led to the development of numerous self-supervised learning methods, such as Graph Contrastive Learning (GCL) techni"
6,35.7,3,53,Haotian Wang,Rice University,Department of Chemical and Biomolecular Engineering,https://openalex.org/A5100383998,https://orcid.org/0000-0002-3552-8978,,84,47915,421,Electrocatalysts for Energy Conversion; CO2 Reduction Techniques and Catalysts; Advanced battery technologies research,techno-economic analysis; life cycle assessment; sustainability,machine learning combustion; NSGA-III; surrogate model; spark ignition engine; internal combustion engine; physics-informed; alternative fuels; convex hull; response surface methodology; fuel blend; alcohol gasoline; oxygenated fuel; biofuels; brake thermal efficiency; NOx prediction; emission reduction; emissions optimization; engine emissions; gradient boosting; XGBoost; evolutionary algorithm; Pareto optimization; data-driven optimization; digital twin; knowledge graph; scientific machine learning; neural operator; Neo4j; graph neural network; stochastic modeling; Gaussian process; LCA; multi-objective optimization; heat transfer; computational fluid dynamics; data driven thermodynamics; thermal management; renewable energy systems; energy optimization; decarbonization; energy transition; manufacturing; robotics; energy harvesting; vibration; control systems; additive manufacturing; digital shadow; machine learning; artificial intelligence,Energy-efficient indirect (bi)carbonate electroreduction in a porous solid electrolyte reactor,2026,Nature Sustainability,https://doi.org/10.1038/s41893-025-01755-x,,Dual‐mode reversible photoluminescence tuning in rare‐earth doped scheelite thin films via mechanical strain,2025,Journal of the American Ceramic Society,https://doi.org/10.1111/jace.70461,Abstract Flexible optoelectronic technology has shown great application prospects in various fields. The appealing aspect of this technology lies in the reversible regulation of the luminescent properties of materials through external stimuli. Epitaxial CaWO 4 :Er 3 ⁺/mica heterostructures fabricate,Free-Standing Porous Composite Polyelectrolyte for Efficient CO <sub>2</sub> Electrolysis,2025,Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c03612,"Conventional CO<sub>2</sub> reduction electrolyzers typically employ liquid-based electrolytes, resulting in expensive postsynthesis purification steps to recover the product. Solid-state reactors address product separation challenges, but current particle-based solid electrolytes face issues with l",Research on the high quality development of Tai Chi culture industry based on Taoist culture,2025,Advances in Social Behavior Research,https://doi.org/10.54254/2753-7102/2025.30235,"This study explores the high-quality development of Chinas Taiji cultural industry from the perspective of Taoist culture. In light of the dual demands of cultural industry upgrading and traditional culture revitalization, it analyzes the challenges faced by the Taiji cultural industry in both inher",Towards Practical Electrochemical Ammonia Production from Wastewater Nitrate,2025,ECS Meeting Abstracts,https://doi.org/10.1149/ma2025-02251396mtgabs,"Recent research has shown a surge of interest in the electrochemical nitrate reduction reaction for ammonia synthesis. While catalyst development has advanced rapidly, a significant gap remains in understanding the complete system required to recover NH 3 from wastewater nitrate for real-world appli",FN2LD: FeFET-based nonvolatile and node-upset-recovery latch designs with cost optimization,2025,Microelectronics Journal,https://doi.org/10.1016/j.mejo.2025.106975,,Failure mechanisms in PEM water electrolyzers,2025,Carbon Future,https://doi.org/10.26599/cf.2025.9200060,"The failure of anode catalysts for the oxygen evolution reaction (OER) in proton exchange membrane (PEM) electrolyzers poses a significant barrier to their commercial deployment. In PEM electrolyzers, anode catalysts typically degrade due to the extremely oxidative environment and low local pH at th",A direct electrochemical Li recovery from spent Li-ion battery cathode for high-purity lithium hydroxide feedstock,2025,Joule,https://doi.org/10.1016/j.joule.2025.102197,,High-Pressure Electrochemical CO <sub>2</sub> Capture and Reduction to Formic Acid,2025,ACS Energy Letters,https://doi.org/10.1021/acsenergylett.5c02165,"Direct supply of dilute CO2 sources to an electrochemical porous solid electrolyte (PSE) reactor enables simultaneous CO2 capture and conversion. However, its catalytic performance is significantly limited under ambient pressure due to low CO2 surface coverage and mass transport constraints. Here, w",Low-iridium stabilized ruthenium oxide anode catalyst for durable proton-exchange membrane water electrolysis,2025,Nature Nanotechnology,https://doi.org/10.1038/s41565-025-02030-y,
