rank,score,name,institution,openalex_url,orcid,homepage_url,h_index,cited_by_count,works_count,top_topics,matched_kws,missed_kws,paper1_title,paper1_year,paper1_journal,paper1_doi,paper1_abstract_snippet,paper2_title,paper2_year,paper2_journal,paper2_doi,paper2_abstract_snippet,paper3_title,paper3_year,paper3_journal,paper3_doi,paper3_abstract_snippet
1,4,Claudia P. Ostertag,"University of California, Berkeley",https://openalex.org/A5013824305,https://orcid.org/0000-0002-6182-3073,,33,3496,112,Innovative concrete reinforcement materials; Structural Behavior of Reinforced Concrete; Concrete and Cement Materials Research,finite element; computational fluid dynamics; thermal management; topology optimization,heat transfer; additive manufacturing; tribology; fatigue; composite materials; robotics,Combined CFD and FEM analysis of 3D printed PCM integrated concrete panels for passive thermal management in buildings,2025,Applied Thermal Engineering,https://doi.org/10.1016/j.applthermaleng.2025.127544,• 3D-printed ABS capsules used to embed PCM into concrete wall panels. • CFD-FEM methods combined to simulate PCM heat absorption and melting. • IR-based heating setup mimics 2500 W/m 2 solar flux for thermal testing. • PCM reduced internal wall temperature by 5.06% under solar-like heat. • Simulati,Improving the Ductility of Concrete Beams Reinforced with Topologically Optimized Steel,2025,Journal of Structural Engineering,https://doi.org/10.1061/jsendh.steng-13908,"To address the sustainability challenges faced by concrete structures, various attempts have been made to optimize the reinforcement layout with a topologically optimized strut-and-tie model (STM). However, most studies have focused on theoretical discussions and the few available experimental studi",Sustainable reinforced concrete design: The role of ultra-high performance concrete (UHPC) in life-cycle structural performance and environmental impacts,2024,Engineering Structures,https://doi.org/10.1016/j.engstruct.2024.118585,"Ultra-high performance concrete (UHPC), an advanced type of concrete material that shows superior mechanical and durability performance, brings promises of reducing the material usage and increasing the life span of conventional concrete structures. However, the environmental benefits of adopting UH"
2,2,Yanfei Gao,University of Tennessee at Knoxville,https://openalex.org/A5000921224,https://orcid.org/0000-0003-2082-857X,,58,15008,296,Microstructure and mechanical properties; Metal and Thin Film Mechanics; Metallic Glasses and Amorphous Alloys,finite element; composite materials,heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; robotics; thermal management; topology optimization,"Cryogenic Performance and Modelling of Fibre- and Nano-Reinforced Composites: Failure Mechanisms, Toughening Strategies, and Constituent-Level Behaviour",2026,Journal of Composites Science,https://doi.org/10.3390/jcs10010036,"Composite materials are increasingly required to operate in cryogenic environments, including liquid hydrogen and oxygen storage, deep-space structures, and polar infrastructures, where long-term strength, toughness, and reliability are essential. This review provides a unique contribution by system",Probing the structural evolution and electronic properties of bismuth-doped medium-sized boron clusters,2025,The European Physical Journal Plus,https://doi.org/10.1140/epjp/s13360-025-07034-0,,Achieving superplasticity in a hard-to-deform precipitation strengthened Ni-based alloy by suppressing grain boundary brittleness,2025,Acta Materialia,https://doi.org/10.1016/j.actamat.2025.121760,
3,2,Xianming Shi,Washington State University,https://openalex.org/A5051940729,https://orcid.org/0000-0003-3576-8952,,59,13370,375,Smart Materials for Construction; Concrete and Cement Materials Research; Concrete Corrosion and Durability,additive manufacturing; robotics,finite element; heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; thermal management; topology optimization,Wave-PINN: a wavelet-based physics-informed neural network for continuous pavement roughness evaluation from vehicle dynamics,2026,Mechanical Systems and Signal Processing,https://doi.org/10.1016/j.ymssp.2026.114232,,Leveraging emerging technologies to address the crisis of aging concrete infrastructure,2025,Journal of Infrastructure Preservation and Resilience,https://doi.org/10.1186/s43065-025-00147-x,"Aging concrete infrastructure faces accelerating deterioration from deferred maintenance, environmental exposure, and climate change, creating urgent demand for cost-effective, durable solutions. This Commentary argues that meeting this challenge requires an integrated rehabilitation framework that ",Effects of sequential hydration on restrained shrinkage for cement-stabilized unsaturated soil under cycles of wetting–drying,2025,Journal of Infrastructure Preservation and Resilience,https://doi.org/10.1186/s43065-025-00151-1,"Although cementitious stabilization allows for beneficial use of in-situ marginal materials and industrial byproducts, its broader application is often limited by shrinkage cracking. Instead of one-time hydration (OH), this study proposes an innovative sequential hydration (SH) approach to mitigate "
4,2,Ravi Ranade,"University at Buffalo, State University of New York",https://openalex.org/A5021106896,https://orcid.org/0000-0001-6030-8371,,28,4283,75,Innovative concrete reinforcement materials; Concrete and Cement Materials Research; Structural Behavior of Reinforced Concrete,finite element; fatigue,heat transfer; computational fluid dynamics; additive manufacturing; tribology; composite materials; robotics; thermal management; topology optimization,Experimental study of post-fire bond strength between steel reinforcing bars and concrete using beam-end specimens,2025,Engineering Structures,https://doi.org/10.1016/j.engstruct.2025.120450,,Analysis of damage mechanisms in fiber-reinforced ceramic matrix composites under thermomechanical loading at intermediate and high temperatures,2025,Journal of Composite Materials,https://doi.org/10.1177/00219983251333104,This paper examines the damage and failure behavior of woven ceramic matrix composites (CMCs) under thermomechanical loading. The study focuses on S200H (Hi-Nicalon™ SiC fiber with a boron nitride coating in a SiNC matrix) and S400N (carbon fiber with a pyrolytic carbon coating in a SiNC matrix) CMC,Saltwater flooding-induced corrosion and lateral strength of reinforced concrete structures,2025,,https://doi.org/10.21012/fc12.1343,"Many coastal communities are located in areas of high seismic activity.Saltwater flooding can exacerbate the corrosion of lateral force-resisting systems of structures in these communities, impacting their seismic resilience.Evaluating the compounding risk from flood and seismic hazards in these com"
5,2,Seid Korić,University of Illinois Urbana-Champaign,https://openalex.org/A5032466147,https://orcid.org/0000-0002-7330-6401,,28,3228,141,Model Reduction and Neural Networks; Metallurgical Processes and Thermodynamics; Aluminum Alloy Microstructure Properties,finite element; additive manufacturing,heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Sequential deep operator neural networks for plastic and thermo-viscoplastic transient material behavior,2026,International Journal of Plasticity,https://doi.org/10.1016/j.ijplas.2026.104689,,Sequential neural operator transformer for high-fidelity surrogates of time-dependent non-linear partial differential equations,2026,Engineering Applications of Artificial Intelligence,https://doi.org/10.1016/j.engappai.2026.114428,"Partial differential equations (PDEs) are fundamental to modeling complex and nonlinear physical phenomena, but their numerical solution often requires significant computational resources, particularly when a large number of forward full solution evaluations are necessary, such as in design, optimiz",Nonlinear inverse design of mechanical multi-material metamaterials enabled by video denoising diffusion and structure identifier,2026,Engineering Applications of Artificial Intelligence,https://doi.org/10.1016/j.engappai.2026.114368,"Metamaterials, synthetic materials with customized properties, have emerged as a promising field due to advancements in additive manufacturing. These materials derive unique mechanical properties from their internal lattice structures, which are often composed of multiple materials that repeat geome"
6,2,Jung Heum Yeon,Texas State University,https://openalex.org/A5018125006,https://orcid.org/0000-0003-1147-0588,,24,1663,66,Innovative concrete reinforcement materials; Concrete and Cement Materials Research; Concrete Properties and Behavior,finite element; additive manufacturing,heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,"Influence of Coated Steel Fibers on Mechanical Properties of UHPC Considering Graphene Oxide, Nano-Aluminum Oxide, and Nano-Calcium Carbonate",2025,Fibers,https://doi.org/10.3390/fib13040037,"The addition of high volume fractions of fibers in ultra-high-performance concrete (UHPC) presents specific durability-based challenges due to the high content of interfacial transition zones (ITZ) between the fibers and surrounding mortar, along with the production cost. Hence, this study explored ",Development of an Electrically Heated Sidewalk System for Enhanced Winter Pedestrian Safety,2025,Buildings,https://doi.org/10.3390/buildings15040533,"This study aims to develop an electrically heated sidewalk system to efficiently clear ice and snow from pedestrian walkways, ensuring safety and minimizing environmental impact during winter. While extensive research has been conducted on heated pavement and slab systems for vehicles and aircraft, ",Torsional Performance of Vat-Photopolymerized Tough Resin: Influence of Gauge Length and UV Post-Curing,2025,Experimental Mechanics,https://doi.org/10.1007/s11340-024-01135-0,"Abstract Background A myriad of materials, ranging from soft sensors to bone substitutes, undergo torsional loading throughout their operational lifespan. Many of these materials are produced using additive manufacturing (AM) technology due to its broad applicability. Understanding the torsional beh"
7,2,Marie‐Agathe Charpagne,University of Illinois Urbana-Champaign,https://openalex.org/A5055530140,https://orcid.org/0000-0003-4323-6577,,23,1606,63,High Temperature Alloys and Creep; Microstructure and Mechanical Properties of Steels; Metallurgy and Material Forming,additive manufacturing; fatigue,finite element; heat transfer; computational fluid dynamics; tribology; composite materials; robotics; thermal management; topology optimization,Accelerated fatigue strength prediction via additive manufactured functionally graded materials and high-throughput plasticity quantification,2025,Materials & Design,https://doi.org/10.1016/j.matdes.2025.114115,"Recent improvements in additive manufacturing and high-throughput material synthesis have enabled the discovery of novel metallic materials for extreme environments. However, high-fidelity testing of advanced mechanical properties such as fatigue strength, has often been the most time-consuming and ",Synergistically enhanced cryogenic strength and ductility in 304L stainless steel made by directed energy deposition additive manufacturing,2025,Materials & Design,https://doi.org/10.1016/j.matdes.2025.113906,"We leverage the rapid cooling rates and thermal cycling inherent to laser directed energy deposition (DED) additive manufacturing (AM), to synthesize 304L stainless steel with bimodal grain size distribution and intragranular cellular dislocation structures. We find that regardless of the printing s",Subsurface microstructure effects on surface resolved slip activity,2025,Journal of the Mechanics and Physics of Solids,https://doi.org/10.1016/j.jmps.2024.106023,
8,2,S. Kiana Naghibzadeh,Carnegie Mellon University,https://openalex.org/A5041217580,https://orcid.org/0000-0001-5629-9396,,8,177,13,Microstructure and mechanical properties; Microstructure and Mechanical Properties of Steels; Metallurgy and Material Forming,finite element; additive manufacturing,heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Challenging common notions on how eggs break and the role of strength versus toughness,2025,Communications Physics,https://doi.org/10.1038/s42005-025-02087-0,"One experiment commonly used to teach young students about the response of structures to dynamic loading is the “egg drop challenge”, in which students design a device to protect an egg from cracking after a fall from a specified height. Relevant to this activity is the choice of orientation of the ",Grain boundary properties and microstructure evolution in an Al-Cu alloy,2025,Acta Materialia,https://doi.org/10.1016/j.actamat.2025.121041,"Grain boundary (GB) properties in an Al-5 wt % Cu alloy have been extracted from diffraction contrast tomography images after 10 sequential annealing steps for 15 min at 630°C. At the annealing temperature, a copper-rich liquid was present at the GBs. The growth and shrinkage of the grains are stron",Accretion and ablation in deformable solids using an Eulerian formulation: A finite deformation numerical method,2025,Journal of the Mechanics and Physics of Solids,https://doi.org/10.1016/j.jmps.2025.106076,"Surface growth, i.e., the addition or removal of mass from the boundary of a solid body, occurs in a wide range of processes, including the growth of biological tissues, solidification and melting, and additive manufacturing. To understand nonlinear phenomena such as failure and morphological instab"
9,1,Tresa M. Pollock,"University of California, Santa Barbara",https://openalex.org/A5032474098,https://orcid.org/0000-0001-9948-1083,,85,32180,609,High Temperature Alloys and Creep; Intermetallics and Advanced Alloy Properties; High-Temperature Coating Behaviors,fatigue,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; composite materials; robotics; thermal management; topology optimization,A Correlative Microscopy Dataset for Multimodal Data Fusion and Image Matching in Materials Science,2026,ChemRxiv,https://doi.org/10.26434/chemrxiv.15001724/v1,,Mining Multimodal Fatigue Data Using Reasoning Foundation Models and Formalized Domain Knowledge,2026,Integrating materials and manufacturing innovation,https://doi.org/10.1007/s40192-026-00442-9,Abstract The scarcity and expense of fatigue data limits optimal design of components and constrains companies to a few well-qualified materials when safety-critical applications are concerned. This research investigates different strategies to improve extraction of structured information from unstr,pyTriBeam: Open-Source Software for Enhanced 3D Data Collection in TriBeam Microscopes,2026,Integrating materials and manufacturing innovation,https://doi.org/10.1007/s40192-026-00449-2,"An open-source data collection platform for TriBeam microscopes that simplifies the process of building a collection experiment, metadata logging, and automated serial sectioning is presented. Microscope conventions and sample geometries for successful experiments are described, as well as a graphic"
10,1,Alan A. Luo,The Ohio State University,https://openalex.org/A5004871584,https://orcid.org/0000-0002-4356-0468,,60,15881,387,Aluminum Alloys Composites Properties; Magnesium Alloys: Properties and Applications; Aluminum Alloy Microstructure Properties,additive manufacturing,finite element; heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Modeling and validation of microstructure and porosity formation in Al-10Si alloy laser powder bed fusion additive manufacturing process,2026,Additive manufacturing,https://doi.org/10.1016/j.addma.2026.105172,"Laser powder bed fusion (LPBF) additive manufacturing (AM) process has been used in production of metal components in industries such as aerospace, automotive, and defense. However, challenges including porosity formation and microstructure inconsistency can compromise part performance and reliabili",Cerium Oxide Coating on Nickel-Rich Oxide Cathodes to Mitigate Lithium-Ion Battery Thermal Runaway,2026,ACS Applied Energy Materials,https://doi.org/10.1021/acsaem.5c03706,"Nickel-rich layered oxide cathodes are promising for next-generation lithium-ion batteries due to their high energy density and lower cost compared to the lithium cobalt oxide (LCO) cathode. However, their practical application is often limited by their thermal instability at high nickel content, wh",Removal of copper from steel scrap using sulfide salts treatment,2026,,https://doi.org/10.26226/m.697798c3695071f0a9def644,
11,1,Narayanan Neithalath,Arizona State University,https://openalex.org/A5036251434,https://orcid.org/0000-0002-3174-0402,,65,13907,283,Concrete and Cement Materials Research; Innovative concrete reinforcement materials; Innovations in Concrete and Construction Materials,additive manufacturing,finite element; heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Building Tomorrow: Unlocking the Potential of Additive Manufacturing to Revolutionize Coastal Infrastructure,2026,Integrated Environmental Assessment and Management,https://doi.org/10.1093/inteam/vjag053,"Natural and engineered waterborne infrastructure are critical resources necessary for coastal protection, economic security, and ecosystem services; however, increasing pressures from natural hazard events are compromising the performance and resilience of these systems. Addressing these challenges ","Modeling of layered, multi-material 3D-printed concrete flexural members—towards efficient structural design and optimization",2026,Materials and Structures,https://doi.org/10.1617/s11527-026-03057-w,,A hybrid mechano-thermal route to synthesize reactive pozzolans from clay minerals: A case of kaolinite,2026,Cement and Concrete Research,https://doi.org/10.1016/j.cemconres.2026.108208,
12,1,Waltraud M. Kriven,University of Illinois Urbana-Champaign,https://openalex.org/A5053104967,https://orcid.org/0000-0002-2983-5760,,60,13803,567,Advanced ceramic materials synthesis; Concrete and Cement Materials Research; Crystallization and Solubility Studies,composite materials,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; robotics; thermal management; topology optimization,Monte Carlo modeling of drum milling of staple fiber canvas and applications of ground basalt or glass fibers,2025,Results in Materials,https://doi.org/10.1016/j.rinma.2025.100823,"This work systematically investigated the fiber grinding process in extruders and drum mills, developed a simple mathematical model describing fiber grinding in drum mills, and employed Monte Carlo simulations to analyze this process. The study established that the length distribution of ground fibe",Influence of operating conditions on the degradation of co-annular Si₃N₄-MoSi₂ glow plugs,2025,Journal of the European Ceramic Society,https://doi.org/10.1016/j.jeurceramsoc.2025.117919,"Silicon-nitride-based composites are widely used in ceramic heaters for combustion engines due to their high strength and wear resistance. Recent developments in engine designs, focusing on using alternative jet fuels with lower auto-ignition tendencies, have increased the demand for ignition-assist",The effect of basalt glass microspheres and microfibers on the wear resistance of metakaolin‐based geopolymer composites,2025,International Journal of Applied Ceramic Technology,https://doi.org/10.1111/ijac.70055,"Abstract This study investigates the effect of various microfillers on the abrasion resistance of metakaolin‐based, geopolymer composites. Comparative tests were conducted on a baseline geopolymer and composites reinforced with chamotte powder, basalt microfiber, prestressed, solid, basalt glass mic"
13,1,Brad Boyce,Sandia National Laboratories,https://openalex.org/A5017465549,https://orcid.org/0000-0001-5994-1743,,59,9861,502,Microstructure and mechanical properties; Metal and Thin Film Mechanics; Advanced Surface Polishing Techniques,fatigue,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; composite materials; robotics; thermal management; topology optimization,Displacement-controlled nanoindentation stress relaxation tests for reliable determination of activation volumes,2025,Materials & Design,https://doi.org/10.1016/j.matdes.2025.115067,"• First demonstration of stress relaxation via displacement-controlled nanoindenter. • Active compliance compensation is crucial for reliable stress relaxation results. • Three tip geometries yield similar results on nc Ni. • Application of indentation stress relaxation to FCC, BCC and amorphous mat",Grain boundary zirconia-modified garnet solid-state electrolyte,2025,Nature Materials,https://doi.org/10.1038/s41563-025-02374-9,,Controlling Fatigue Cracks in the Transmission Electron Microscope,2025,Small Methods,https://doi.org/10.1002/smtd.202500832,Fatigue cracking in materials is a widespread engineering challenge with substantial economic and safety consequences. In situ Transmission Electron Microscopy (TEM) is an emerging method to investigate the nanoscale origins of fatigue. Recent nanoindenter-based methods enabled detailed observation 
14,1,Elizabeth A. Holm,University of Michigan–Ann Arbor,https://openalex.org/A5016287426,https://orcid.org/0000-0003-3064-5769,,47,8859,261,Microstructure and mechanical properties; Metallurgy and Material Forming; Machine Learning in Materials Science,fatigue,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; composite materials; robotics; thermal management; topology optimization,Evaluating and enhancing Segment Anything Model transferability for microstructural image analysis in nuclear materials,2026,Computational Materials Science,https://doi.org/10.1016/j.commatsci.2026.114620,"Segmentation approaches in niche materials domains, such as in nuclear applications, can be hindered by limited data for neural network-based methodologies and inconsistent manual or algorithmic methods. In contrast, foundation models like Meta’s Segment Anything Model (SAM) offer potential zero-sho",On the Limits of Predictivity in Microstructural Evolution Simulations: Ensemble Simulations of Polycrystalline Grain Growth,2026,Metallurgical and Materials Transactions A,https://doi.org/10.1007/s11661-026-08160-9,"Abstract Theoretical models for polycrystalline grain growth are deterministic. However, although computer simulations based on these models reproduce average features and trends, they do not reliably predict experimental growth trajectories for individual grains. Disagreement between experiment and",Combining multimodal fatigue fracture surface images for analysis with a CNN,2026,Scientific Reports,https://doi.org/10.1038/s41598-025-97184-z,"This work uses three different modalities, namely SEM, BSE and scanning white light interference (SWLI) to image fatigue fracture surfaces of Ti-6Al-4V. Convolutional neural networks (CNNs) that were pre-trained on images of the natural world were used to predict values such as distance from load li"
15,1,Jie Huang,Missouri University of Science and Technology,https://openalex.org/A5028758562,https://orcid.org/0000-0002-8659-2910,,44,6741,389,Advanced Fiber Optic Sensors; Photonic and Optical Devices; Advanced Fiber Laser Technologies,additive manufacturing,finite element; heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Achieving simultaneous low infrared emissivity and improved mechanical properties of Al/epoxy resin composite coating,2025,Journal of Coatings Technology and Research,https://doi.org/10.1007/s11998-025-01186-5,,High-density fiber Bragg grating array enabling fully distributed sensing with sub-millimeter spatial resolution,2025,Optics Letters,https://doi.org/10.1364/ol.581015,"Distributed, cost-effective sensing with sub-millimeter spatial resolution remains critical and yet challenging for a wide range of industries, including aerospace, biomedical engineering, and additive manufacturing. In this Letter, we propose and experimentally demonstrate a novel staggered contigu",Optimization Strategies for Ni-MOF/LIG Based Gas Sensors: Addressing Humidity Challenges in Chemiresistive CO Detection,2025,ECS Meeting Abstracts,https://doi.org/10.1149/ma2025-02632857mtgabs,"The reliable detection of carbon monoxide (CO) is of great importance, as its toxicity has resulted in serious threats to public health, the safety of industries, and environmental health. Conventional CO sensors based on metal oxide semiconductors typically require elevated operating temperatures a"
16,1,Teik C. Lim,The University of Texas at Arlington,https://openalex.org/A5070015930,,,41,5219,258,Gear and Bearing Dynamics Analysis; Tribology and Lubrication Engineering; Mechanical Engineering and Vibrations Research,finite element,heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Mesh Stiffness Calculation and Error Analysis: Hypoid Gear Pair and System,2025,Journal of vibration and acoustics,https://doi.org/10.1115/1.4069852,"Abstract Accurate mesh stiffness calculation is crucial for developing reliable dynamic models and analyzing vibratory behavior in hypoid gears. Current studies often use a hypoid gear pair, incorporating the misalignment effects of the hypoid gear system model, as a substitute for the full hypoid g",Multi-objective design optimization of hypoid geared rotor dynamic system,2025,Mechanism and Machine Theory,https://doi.org/10.1016/j.mechmachtheory.2025.106148,,Identification of Tool and Machine Settings for Hypoid Gear Based on Non-Uniform Discretization,2025,Mechanism and Machine Theory,https://doi.org/10.1016/j.mechmachtheory.2025.105951,• A non-uniform discretization scheme for hypoid gear is proposed. • A flexible formulation demonstrated with the Chebyshev grid is introduced. • Normalized weighting matrix is considered to enable comparability . • The effectiveness of the proposed model is validated across different scenarios. Ide
17,1,Jiong Tang,University of Connecticut,https://openalex.org/A5087819768,https://orcid.org/0000-0002-6825-9049,,36,5146,314,Structural Health Monitoring Techniques; Ultrasonics and Acoustic Wave Propagation; Probabilistic and Robust Engineering Design,finite element,heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Research on Real-Time Monitoring and Fault Prediction of Photovoltaic System Based on Hybrid Twin Model,2025,Journal of Advanced Manufacturing Systems,https://doi.org/10.1142/s0219686727500326,"In the context of global energy green transformation, the increase in installed capacity of photovoltaic systems is accompanied by efficiency losses and safety hazards caused by component failures. Traditional monitoring relies on threshold alarms and regular inspections, and the false alarm rate of",Experimental Investigation on the Strength Reduction of Soil Surrounding Deepwater Surface Conductor Induced by Vibration,2025,SPE Journal,https://doi.org/10.2118/231161-pa,"Summary The shallow soil layers in deep water are primarile composed of clay, characterized by weak soil structure, leading to significant safety risks in shallow well construction. Based on this, we refer to the actual dimensions of shallow surface jetting conductor in deep water and the shallow ge",A Multilevel Inverse Analysis Framework for Damage Identification Leveraging Reduced-Order Modeling of Sensor-Structure Interaction,2025,Journal of Computational and Nonlinear Dynamics,https://doi.org/10.1115/1.4070201,Abstract Identifying small-sized damage in its early stage allows one to take appropriate action in a timely manner to minimize the maintenance concerns and thus becomes imperative in structural health monitoring (SHM). While the low-frequency vibration measurements are widely used in damage identif
18,1,Jean‐Charles Stinville,University of Illinois Urbana-Champaign,https://openalex.org/A5058181785,https://orcid.org/0000-0001-5695-2383,,40,4752,118,High Temperature Alloys and Creep; Microstructure and mechanical properties; Fatigue and fracture mechanics,additive manufacturing,finite element; heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Quantifying the impact of oxidation on the mechanical properties of Alloy 718 using local mechanical testing techniques,2025,Materials & Design,https://doi.org/10.1016/j.matdes.2025.114669,"Despite excellent oxidative properties of the Alloy 718 Ni-based superalloy, long-term exposure to oxidative environments in service creates a chemical gradient in the sub-surface affected by oxidation. Its characterization is key to assessing the evolving mechanical behavior of such affected materi",Learning metal microstructural heterogeneity through spatial mapping of diffraction latent space features,2025,npj Computational Materials,https://doi.org/10.1038/s41524-025-01770-8,"To leverage advancements in machine learning for metallic materials design and property prediction, it is crucial to develop a data-reduced representation of metal microstructures that surpasses the limitations of current physics-based discrete microstructure descriptors. This need is particularly r",Statistical analyses of plastic deformation events via computer vision: Case study of additive manufactured microstructures,2025,Materials Characterization,https://doi.org/10.1016/j.matchar.2025.115406,
19,1,Diab Abueidda,University of Illinois Urbana-Champaign,https://openalex.org/A5015479227,https://orcid.org/0000-0003-3594-2455,,29,4572,111,Model Reduction and Neural Networks; Cellular and Composite Structures; Topology Optimization in Engineering,additive manufacturing,finite element; heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Nonlinear inverse design of mechanical multi-material metamaterials enabled by video denoising diffusion and structure identifier,2026,Engineering Applications of Artificial Intelligence,https://doi.org/10.1016/j.engappai.2026.114368,"Metamaterials, synthetic materials with customized properties, have emerged as a promising field due to advancements in additive manufacturing. These materials derive unique mechanical properties from their internal lattice structures, which are often composed of multiple materials that repeat geome",Geometry-informed neural operator transformer for partial differential equations on arbitrary geometries,2025,Computer Methods in Applied Mechanics and Engineering,https://doi.org/10.1016/j.cma.2025.118668,"• A Geometry-Informed Neural Operator Transformer (GINOT) is proposed for forward predictions on arbitrary geometries. • GINOT encodes surface point clouds that are unordered, have non-uniform point density, and varying numbers of points. • GINOT effectively processes complex, arbitrary geometries a",I-FENN with DeepONets: Accelerating simulations in coupled multiphysics problems,2025,Computer Methods in Applied Mechanics and Engineering,https://doi.org/10.1016/j.cma.2025.118645,
20,1,Marwa Hassan,Louisiana State University,https://openalex.org/A5059729027,https://orcid.org/0000-0001-8087-8232,,36,3845,294,Asphalt Pavement Performance Evaluation; Infrastructure Maintenance and Monitoring; Innovative concrete reinforcement materials,fatigue,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; composite materials; robotics; thermal management; topology optimization,Performance of full-scale jointless bonded ecc overlay of asphalt,2026,Construction and Building Materials,https://doi.org/10.1016/j.conbuildmat.2026.145205,,Enhancing the Sustainability and Cost-Effectiveness of High-Modulus Asphalt Concrete Mixes with Crumb Rubber,2025,Journal of Transportation Engineering Part B Pavements,https://doi.org/10.1061/jpeodx.pveng-1874,"Asphalt mixes are typically developed using the Superpave mix design method, which focuses on evaluating the volumetric properties of the mix. Current efforts aim to develop asphalt mixes that are performance-based and sustainable. In this context, a French mix design called high-modulus asphalt con",Artificial intelligence powered intelligent energy management framework for hydrogen storage and dispatch in smart microgrids,2025,Scientific Reports,https://doi.org/10.1038/s41598-025-24408-7,"Hydrogen energy storage is increasingly recognized as a key enabler for enhancing flexibility and reliability in smart microgrids with high shares of renewable energy. However, its practical deployment remains constrained by challenges such as real-time dispatch complexity, forecasting uncertainty, "
21,1,Veera Sundararaghavan,University of Michigan,https://openalex.org/A5006013675,https://orcid.org/0000-0002-1213-7958,,38,3734,173,Microstructure and mechanical properties; Metallurgy and Material Forming; Magnesium Alloys: Properties and Applications,finite element,heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,The effects of mixed boundary conditions on the axial compressive response of thin-walled circular cylindrical shells,2025,Thin-Walled Structures,https://doi.org/10.1016/j.tws.2025.114025,,Three-dimensional nucleation and growth of deformation twins in magnesium,2025,Science,https://doi.org/10.1126/science.adv3460,"At two-thirds the weight of aluminum, magnesium alloys have the potential to reduce the fuel consumption of transportation vehicles. These advancements depend on our ability to optimize the desirable versus undesirable effects of deformation twins, which are three-dimensional (3D) microstructural do",MicroProcSim: A Software for Simulation of Microstructure Evolution,2025,Integrating materials and manufacturing innovation,https://doi.org/10.1007/s40192-025-00405-6,"The online version of this article (10.1007/s40192-025-00405-6) contains an Editor's Video Summary, which is available to authorized users."
22,1,Moses Karakouzian,"University of Nevada, Las Vegas",https://openalex.org/A5010602843,https://orcid.org/0000-0002-8274-6759,,30,2998,172,Innovative concrete reinforcement materials; Concrete and Cement Materials Research; Hydrology and Sediment Transport Processes,finite element,heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Evaluating the Transformational Role of BIM with the LPS Approach in the Construction Industry Based on the PMBOK Guide,2026,International Journal of Construction Education and Research,https://doi.org/10.1080/15578771.2026.2647981,,An Innovative Design of Railroad Crossties,2025,Designs,https://doi.org/10.3390/designs9060127,"This study presents an initial feasibility concept paper for a proposed crosstie system, an innovative railroad crosstie reinforcement system designed to reduce the stresses transmitted to the underlying ballast. While not developed for a specific industry client, the proposed crosstie system lays t",Investigation of Mechanical and Fresh Properties of Ultra-High-Performance Concrete Incorporating Second-Generation Superplasticizers,2025,Applied Sciences,https://doi.org/10.3390/app15095133,"Ultra-high-performance concrete (UHPC) has been following economic and environmental trends for the past two decades. Limited research has been conducted on the significance of superplasticizers in UHPC products, despite the high costs they entail for projects. The current study assesses UHPC based "
