rank,score,name,institution,openalex_url,orcid,homepage_url,h_index,cited_by_count,works_count,top_topics,matched_kws,missed_kws,paper1_title,paper1_year,paper1_journal,paper1_doi,paper1_abstract_snippet,paper2_title,paper2_year,paper2_journal,paper2_doi,paper2_abstract_snippet,paper3_title,paper3_year,paper3_journal,paper3_doi,paper3_abstract_snippet
144,0,Miroslav Zecevic,Los Alamos National Laboratory,https://openalex.org/A5034216728,https://orcid.org/0000-0003-2599-2096,,21,1419,53,Microstructure and mechanical properties; Composite Material Mechanics; Numerical methods in engineering,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Integrating a full-field crystal plasticity model with a finite element hydrodynamic method for multiscale simulations,2026,Computers & Structures,https://doi.org/10.1016/j.compstruc.2026.108166,,Corrigendum to “A quantitative study of texture evolution mechanisms in cold-rolled 6014 aluminum alloy using the viscoplastic self-consistent model with grain fragmentation”. [Mater. Design 263 (2026) 115635],2026,Materials & Design,https://doi.org/10.1016/j.matdes.2026.115725,,A quantitative study of texture evolution mechanisms in cold-rolled 6014 aluminum alloy using the viscoplastic self-consistent model with grain fragmentation,2026,Materials & Design,https://doi.org/10.1016/j.matdes.2026.115635,• A novel grain fragmentation mechanism enables mean-field VPSC to outperform full-field VPFFT predictions at only 0.14% of the computational cost. • GF-VPSC achieves quantitative agreement with experiments for the full-process evolution of key deformation texture components. • Cold-rolling texture 
145,0,Dongzhao Jin,Michigan Technological University,https://openalex.org/A5101827749,https://orcid.org/0000-0003-0153-5501,,22,1308,74,Asphalt Pavement Performance Evaluation; Infrastructure Maintenance and Monitoring; Innovative concrete reinforcement materials,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,The utilization of waste cheese whey for retardation in alkali activated slag-based materials: Retarding performance and molecular hydration mechanism,2026,Powder Technology,https://doi.org/10.1016/j.powtec.2026.122161,,Hydration control and performance enhancement of cementitious materials with a sustainable retarder derived from waste cheese whey,2026,Construction and Building Materials,https://doi.org/10.1016/j.conbuildmat.2026.145215,,Developing Global Warming Potential Criteria for Balanced Asphalt Mixes with Emerald Eco-Label EPDs,2025,Journal of Materials in Civil Engineering,https://doi.org/10.1061/jmcee7.mteng-21581,"This study integrates balanced mix design (BMD) thresholds with Environmental Product Declarations (EPDs) for asphalt mixtures at three nominal maximum aggregate sizes (NMAS): 9.5, 12.5, and 19 mm. The primary objective is to evaluate both performance and environmental sustainability by combining BM"
146,0,Taihao Han,Missouri University of Science and Technology,https://openalex.org/A5071918939,https://orcid.org/0000-0002-7111-5206,,18,1307,36,Concrete and Cement Materials Research; Innovative concrete reinforcement materials; Concrete Properties and Behavior,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Ultrafast belite (β‐C <sub>2</sub> S) production using biofuel‐based combustion synthesis,2025,Journal of the American Ceramic Society,https://doi.org/10.1111/jace.70301,"Abstract This study presents a novel low‐temperature, combustion synthesis (CS) approach for the rapid production of belite‐rich cements. CS leverages the exothermic heat released from the combustion of biofuels such as lignin and/or biomass, intermixed with pelletized limestone and quartz. At an im",Microstructure densification in cement pastes enabled by novel graphene types,2025,Construction and Building Materials,https://doi.org/10.1016/j.conbuildmat.2025.143300,,Study on triaxial creep mechanical properties and creep model of sandy mudstone with initial radial depth damage,2025,Construction and Building Materials,https://doi.org/10.1016/j.conbuildmat.2025.141772,
147,0,Jovid Rakhmonov,Northwestern University,https://openalex.org/A5083973669,https://orcid.org/0000-0003-2622-4128,,19,1181,43,Aluminum Alloy Microstructure Properties; Aluminum Alloys Composites Properties; Microstructure and mechanical properties,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Pressureless Sintering of Pre-Alloyed Nanostructured Bainitic Steel Powders,2025,AM&P Technical Articles,https://doi.org/10.31399/asm.amp.2025-06.p066,"Abstract A recent study shows that powder metallurgy and pressureless sintering are a viable pathway to realize full-density bulk components of nanostructure bainitic steels. A scalable, pressureless supersolidus liquid phase sintering (SLPS) approach to process nanostructured bainitic steel is eval",Creep ductility limiting mechanisms in an additively manufactured Al-Ce-Ni-Mn-Zr alloy,2025,Additive manufacturing,https://doi.org/10.1016/j.addma.2025.104983,,Hierarchical microstructural parameters governing electrical and thermal conductivity in Al-based eutectic systems,2025,Journal of Alloys and Compounds,https://doi.org/10.1016/j.jallcom.2025.182055,"Enhancing conductivity properties of aluminum alloys can drive superior performance and efficiency across diverse engineering applications, yet currently commercially available Al casting alloys are severely limited in electrical and thermal conductivity. There is a general understanding that the pr"
148,0,Visar Farhangi,Northern Arizona University,https://openalex.org/A5022785413,https://orcid.org/0000-0001-9108-1907,,20,1150,26,Innovative concrete reinforcement materials; Concrete and Cement Materials Research; Structural Behavior of Reinforced Concrete,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Effect of U-Shaped Metallic Dampers on the Seismic Performance of Steel Structures based on Endurance-Time Analysis,2024,Buildings,https://doi.org/10.3390/buildings14051368,Seismic performance of steel moment-resisting frames is investigated through the incorporation of U-shaped metallic dampers. The primary objective is to assess the effectiveness of these dampers in mitigating seismic responses by utilizing various analysis techniques. Two representative structural c,Application of artificial intelligence in predicting the residual mechanical properties of fiber reinforced concrete (FRC) after high temperatures,2023,Construction and Building Materials,https://doi.org/10.1016/j.conbuildmat.2023.134609,,Comprehensive Review of Direct and Indirect Pozzolanic Reactivity Testing Methods,2023,Buildings,https://doi.org/10.3390/buildings13112789,"The production of portland cement is among the major contributors to greenhouse gas emissions that adversely affect the environment. Identifying sustainable materials to partially replace portland cement in concrete, such as pozzolanic materials, is crucial in addressing this issue. These materials "
149,0,Ramathasan Thevamaran,University of Wisconsin–Madison,https://openalex.org/A5073290087,https://orcid.org/0000-0001-5058-6167,,16,1138,64,Carbon Nanotubes in Composites; Cellular and Composite Structures; Microstructure and mechanical properties,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Polyketimine Covalent Adaptable Networks from Vinyl Monomers via a Free-Radical Approach,2026,Macromolecules,https://doi.org/10.1021/acs.macromol.5c03058,We report a radical-mediated one-pot strategy to synthesize polyimine colvalent adaptable networks (CANs) using a formamide-functionalized methacrylate (FEMA) monomer that generates reactive isocyanides in situ for imine bond formation. This approach bypasses the conventional amine–aldehyde condensa,Embracing nonlinearity and geometry: a dimensional analysis guided design of shock absorbing materials,2025,Nature Communications,https://doi.org/10.1038/s41467-025-60300-8,"Design of shock absorbers requires a delicate balance between mechanical properties and geometric design, allowing them to be compressible yet strong enough to withstand crushing loads. Here, we present a unified framework for designing compact and lightweight shock absorbers by employing a streamli",Implicit geometric descriptor-enabled ANN Framework for a unified structure-property relationship in architected nanofibrous materials,2025,Extreme Mechanics Letters,https://doi.org/10.1016/j.eml.2025.102346,
150,0,Ajit Achuthan,Clarkson University,https://openalex.org/A5029616534,https://orcid.org/0000-0002-1380-5997,,19,1128,74,Additive Manufacturing Materials and Processes; Additive Manufacturing and 3D Printing Technologies; Microstructure and mechanical properties,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Deformation mechanisms and failure behavior of binder jetting manufactured AlCoCrFeNi high-entropy alloy,2026,Journal of Materials Science,https://doi.org/10.1007/s10853-026-12149-5,,Cross-slip mediated normal band formation in microtextured regions of DED Ti–6Al–4V,2025,Scripta Materialia,https://doi.org/10.1016/j.scriptamat.2025.117039,,An optimized multiple-step Finite Element Analysis framework for simulating Additive Manufacturing processes,2025,Progress in Additive Manufacturing,https://doi.org/10.1007/s40964-025-01308-w,
151,0,Mehdi Shokouhian,Morgan State University,https://openalex.org/A5015415828,https://orcid.org/0000-0001-9823-0661,,17,1073,63,Structural Behavior of Reinforced Concrete; Structural Load-Bearing Analysis; Innovative concrete reinforcement materials,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Synergistic crack sealing and water transport reduction in bioengineered concrete using a multi-strain bacterial consortium immobilized in LECA,2026,Structures,https://doi.org/10.1016/j.istruc.2026.111453,,Uncovering Symmetric and Asymmetric Deterioration Patterns in Maryland’s Steel Bridges Through Time-Series Clustering and Principal Component Analysis,2025,Symmetry,https://doi.org/10.3390/sym17122074,"This study analyzes long-term deterioration patterns in 1378 Maryland steel bridges using annual Bridge Health Index (BHI) records from 1995–2021. Missing observations were addressed through linear interpolation combined with forward/backward filling, after which feature-wise z-score standardization",A Review of Pavement Performance Deterioration Modeling: Influencing Factors and Techniques,2025,Symmetry,https://doi.org/10.3390/sym17111992,"Accurate modeling of pavement performance is vital to maintaining safe, reliable, and sustainable transportation infrastructure. This review synthesizes current approaches to pavement deterioration modeling, with emphasis on key influencing factors, performance indicators, and methodologies employed"
152,0,Keerti Kappagantula,Pacific Northwest National Laboratory,https://openalex.org/A5067818735,https://orcid.org/0000-0002-2210-5781,,17,998,79,Aluminum Alloys Composites Properties; Energetic Materials and Combustion; Graphene research and applications,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Generalizable image segmentation for microstructure characterization through integrated SEM and EBSD analysis,2025,npj Computational Materials,https://doi.org/10.1038/s41524-025-01801-4,Abstract We demonstrate generalizable semantic segmentation using minimal ground truth data. Correlated scanning electron microscopy (SEM) images and electron backscatter diffraction (EBSD) measurements of friction-stir processed 316L stainless steel plates were used to train deep learning models fo,Comparison of Mechanical Properties of Lignin/High‐Density Polyethylene ( <scp>HDPE</scp> ) Composites and Wood/ <scp>HDPE</scp> Composites,2025,Journal of Applied Polymer Science,https://doi.org/10.1002/app.58144,"ABSTRACT Lignin is a plant‐derived, the second most abundant natural polymer, and a waste byproduct of the pulp industry. Incorporation of lignin into plastic composites using scalable approaches is commercially favored and low carbon‐cost. Potential end applications for lignin plastic composites (L",Meshfree simulation and prediction of recrystallized grain size in friction stir processed 316L stainless steel,2025,Journal of Materials Processing Technology,https://doi.org/10.1016/j.jmatprotec.2025.118751,Friction stir processing (FSP) is a promising solid-phase microstructural modification technique that can repair and enhance damaged stainless steel surfaces exposed to harsh environments. The quality of the repaired material is closely correlated to the recrystallized grain size in the stir zone (S
153,0,Mayur Pole,Pacific Northwest National Laboratory,https://openalex.org/A5054230545,https://orcid.org/0000-0001-9141-5882,,19,968,70,High Entropy Alloys Studies; Aluminum Alloys Composites Properties; Advanced materials and composites,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Elevated-Temperature Tribo-Corrosion Response of Eutectic High-Entropy Alloy,2026,Entropy,https://doi.org/10.3390/e28040391,The combination of elevated temperature and tribo-corrosion leads to the accelerated degradation of structural components used in many extreme environments. Recently developed high-entropy alloys (HEAs) with multiple principal elements have the potential for superior degradation resistance compared ,Comparative Study of Zinc Cold-Spray Coating and Pre-treatments for Magnesium Alloys,2026,JOM,https://doi.org/10.1007/s11837-026-08237-1,,Optimizing coating performance: Cold spray deposition of Al6061 powders on HPDC AZ91 alloy,2025,Materials Characterization,https://doi.org/10.1016/j.matchar.2025.115950,
